Estado,Date,Type,INY,EXT
Michoacán,2020-10-01,CONF,0,166.6558817
Morelos,2020-10-01,CONF,0,9.031662687
Nayarit,2020-10-01,CONF,0,0
Nuevo León,2020-10-01,CONF,271.0687028,1064.823617
Oaxaca,2020-10-01,CONF,0,28.88216143
Puebla,2020-10-01,CONF,0,137.5605172
Querétaro,2020-10-01,CONF,0,110.6934946
Quintana Roo,2020-10-01,CONF,0,0
San Luis Potosí,2020-10-01,CONF,0,309.0051104
Sinaloa,2020-10-01,CONF,0,213.3353763
Sonora,2020-10-01,CONF,371.3252978,365.90793
Tabasco,2020-10-01,CONF,49.57950978,371.1878202
Tamaulipas,2020-10-01,CONF,4424.004557,920.7916501
Tlaxcala,2020-10-01,CONF,0,5.930784007
Veracruz,2020-10-01,CONF,167.0864659,883.9437489
Yucatán,2020-10-01,CONF,0,82.80304471
Zacatecas,2020-10-01,CONF,0,11.7689662
Aguascalientes,2020-11-01,CONF,0,11.7788102
Baja California,2020-11-01,CONF,408.5853982,401.6950943
Baja California Sur,2020-11-01,CONF,0,0
Campeche,2020-11-01,CONF,0,0
Coahuila,2020-11-01,CONF,41.99599775,197.6926469
Colima,2020-11-01,CONF,170.7332843,164.3689595
Chiapas,2020-11-01,CONF,848.8684087,72.11735556
Chihuahua,2020-11-01,CONF,829.1716998,371.4269238
Ciudad de México,2020-11-01,CONF,0,0
Durango,2020-11-01,CONF,0,503.3977264
Guanajuato,2020-11-01,CONF,0,329.1875107
Guerrero,2020-11-01,CONF,0,0
Hidalgo,2020-11-01,CONF,0,235.9833687
Jalisco,2020-11-01,CONF,0,214.8727309
México,2020-11-01,CONF,0,335.7370514
Michoacán,2020-11-01,CONF,0,156.2206295
Morelos,2020-11-01,CONF,0,9.884094084
Nayarit,2020-11-01,CONF,0,0
Nuevo León,2020-11-01,CONF,324.7732779,1078.600969
Oaxaca,2020-11-01,CONF,0,22.2625294
Puebla,2020-11-01,CONF,0,201.1678546
Querétaro,2020-11-01,CONF,0,118.5494198
Quintana Roo,2020-11-01,CONF,0,0
San Luis Potosí,2020-11-01,CONF,0,298.4876992
Sinaloa,2020-11-01,CONF,0,100.2859667
Sonora,2020-11-01,CONF,266.1936359,259.246767
Tabasco,2020-11-01,CONF,41.7747113,340.0587169
Tamaulipas,2020-11-01,CONF,4201.418328,900.8604105
Tlaxcala,2020-11-01,CONF,0,5.773659315
Veracruz,2020-11-01,CONF,150.9809218,849.081271
Yucatán,2020-11-01,CONF,0,146.1841233
Zacatecas,2020-11-01,CONF,0,0.236508518
Aguascalientes,2020-12-01,CONF,0,12.36219192
Baja California,2020-12-01,CONF,318.5900799,314.5574176
Baja California Sur,2020-12-01,CONF,0,0
Campeche,2020-12-01,CONF,0,0
Coahuila,2020-12-01,CONF,42.3889178,180.5914272
Colima,2020-12-01,CONF,118.550062,193.6615785
Chiapas,2020-12-01,CONF,975.8108194,75.59483418
Chihuahua,2020-12-01,CONF,859.9889441,343.9612871
Ciudad de México,2020-12-01,CONF,0,0
Durango,2020-12-01,CONF,0,371.5006206
Guanajuato,2020-12-01,CONF,0,369.1598396
Guerrero,2020-12-01,CONF,0,0
Hidalgo,2020-12-01,CONF,0,239.507765
Jalisco,2020-12-01,CONF,0,209.4746431
México,2020-12-01,CONF,0,413.1513294
Michoacán,2020-12-01,CONF,0,162.0824916
Morelos,2020-12-01,CONF,0,9.586435864
Nayarit,2020-12-01,CONF,0,0
Nuevo León,2020-12-01,CONF,302.9186195,1030.629726
Oaxaca,2020-12-01,CONF,0,27.68569883
Puebla,2020-12-01,CONF,0,182.0364919
Querétaro,2020-12-01,CONF,0,121.2116574
Quintana Roo,2020-12-01,CONF,0,0
San Luis Potosí,2020-12-01,CONF,0,193.7790917
Sinaloa,2020-12-01,CONF,0,96.51160071
Sonora,2020-12-01,CONF,250.4826794,243.6256849
Tabasco,2020-12-01,CONF,37.86782455,348.6538429
Tamaulipas,2020-12-01,CONF,4255.639072,1038.451978
Tlaxcala,2020-12-01,CONF,0,5.557639943
Veracruz,2020-12-01,CONF,148.7296781,864.2333565
Yucatán,2020-12-01,CONF,0,151.1307624
Zacatecas,2020-12-01,CONF,0,0.203330872
Aguascalientes,2020-12-01,MEAS,0,12
Baja California,2020-12-01,MEAS,319,316
Baja California Sur,2020-12-01,MEAS,0,0
Campeche,2020-12-01,MEAS,0,0
Coahuila,2020-12-01,MEAS,39,174
Colima,2020-12-01,MEAS,119,163
Chiapas,2020-12-01,MEAS,954,233
Chihuahua,2020-12-01,MEAS,859,358
Ciudad de México,2020-12-01,MEAS,0,0
Durango,2020-12-01,MEAS,0,362
Guanajuato,2020-12-01,MEAS,0,362
Guerrero,2020-12-01,MEAS,0,0
Hidalgo,2020-12-01,MEAS,0,254
Jalisco,2020-12-01,MEAS,0,351
México,2020-12-01,MEAS,0,425
Michoacán,2020-12-01,MEAS,0,159
Morelos,2020-12-01,MEAS,0,9
Nayarit,2020-12-01,MEAS,0,0
Nuevo León,2020-12-01,MEAS,239,949
Oaxaca,2020-12-01,MEAS,0,23
Puebla,2020-12-01,MEAS,0,186
Querétaro,2020-12-01,MEAS,0,118
Quintana Roo,2020-12-01,MEAS,0,0
San Luis Potosí,2020-12-01,MEAS,0,190
Sinaloa,2020-12-01,MEAS,0,105
Sonora,2020-12-01,MEAS,250,247
Tabasco,2020-12-01,MEAS,45,446
Tamaulipas,2020-12-01,MEAS,4069,838
Tlaxcala,2020-12-01,MEAS,0,5
Veracruz,2020-12-01,MEAS,155,827
Yucatán,2020-12-01,MEAS,0,151
Zacatecas,2020-12-01,MEAS,0,0
Aguascalientes,2021-01-01,MEAS,0,13
Baja California,2021-01-01,MEAS,353,445
Baja California Sur,2021-01-01,MEAS,0,0
Campeche,2021-01-01,MEAS,0,0
Coahuila,2021-01-01,MEAS,40,188
Colima,2021-01-01,MEAS,0,187
Chiapas,2021-01-01,MEAS,812,210
Chihuahua,2021-01-01,MEAS,1021,344
Ciudad de México,2021-01-01,MEAS,0,0
Durango,2021-01-01,MEAS,0,683
Guanajuato,2021-01-01,MEAS,0,360
Guerrero,2021-01-01,MEAS,0,0
Hidalgo,2021-01-01,MEAS,0,260
Jalisco,2021-01-01,MEAS,0,345
México,2021-01-01,MEAS,0,504
Michoacán,2021-01-01,MEAS,0,155
Morelos,2021-01-01,MEAS,0,10
Nayarit,2021-01-01,MEAS,0,0
Nuevo León,2021-01-01,MEAS,227,1010
Oaxaca,2021-01-01,MEAS,0,28
Puebla,2021-01-01,MEAS,0,203
Querétaro,2021-01-01,MEAS,0,125
Quintana Roo,2021-01-01,MEAS,0,0
San Luis Potosí,2021-01-01,MEAS,0,139
Sinaloa,2021-01-01,MEAS,0,124
Sonora,2021-01-01,MEAS,252,246
Tabasco,2021-01-01,MEAS,47,387
Tamaulipas,2021-01-01,MEAS,4377,1032
Tlaxcala,2021-01-01,MEAS,0,6
Veracruz,2021-01-01,MEAS,159,729
Yucatán,2021-01-01,MEAS,0,123
Zacatecas,2021-01-01,MEAS,0,2
Aguascalientes,2021-01-01,CONF,0,11
Baja California,2021-01-01,CONF,327,346
Baja California Sur,2021-01-01,CONF,0,0
Campeche,2021-01-01,CONF,0,0
Coahuila,2021-01-01,CONF,44,184
Colima,2021-01-01,CONF,112,201
Chiapas,2021-01-01,CONF,844,75
Chihuahua,2021-01-01,CONF,965,352
Ciudad de México,2021-01-01,CONF,0,0
Durango,2021-01-01,CONF,0,539
Guanajuato,2021-01-01,CONF,0,346
Guerrero,2021-01-01,CONF,0,0
Hidalgo,2021-01-01,CONF,0,206
Jalisco,2021-01-01,CONF,0,204
México,2021-01-01,CONF,0,439
Michoacán,2021-01-01,CONF,0,138
Morelos,2021-01-01,CONF,0,14
Nayarit,2021-01-01,CONF,0,0
Nuevo León,2021-01-01,CONF,295,983
Oaxaca,2021-01-01,CONF,0,27
Puebla,2021-01-01,CONF,0,193
Querétaro,2021-01-01,CONF,0,111
Quintana Roo,2021-01-01,CONF,0,0
San Luis Potosí,2021-01-01,CONF,0,243
Sinaloa,2021-01-01,CONF,0,155
Sonora,2021-01-01,CONF,244,240
Tabasco,2021-01-01,CONF,42,358
Tamaulipas,2021-01-01,CONF,4244,1052
Tlaxcala,2021-01-01,CONF,0,5
Veracruz,2021-01-01,CONF,165,770
Yucatán,2021-01-01,CONF,0,153
Zacatecas,2021-01-01,CONF,0,4
Aguascalientes,2021-02-01,MEAS,0,14
Baja California,2021-02-01,MEAS,365,458
Baja California Sur,2021-02-01,MEAS,0,0
Campeche,2021-02-01,MEAS,0,0
Coahuila,2021-02-01,MEAS,40,168
Colima,2021-02-01,MEAS,104,156
Chiapas,2021-02-01,MEAS,857,230
Chihuahua,2021-02-01,MEAS,991,382
Ciudad de México,2021-02-01,MEAS,0,0
Durango,2021-02-01,MEAS,0,523
Guanajuato,2021-02-01,MEAS,0,328
Guerrero,2021-02-01,MEAS,0,0
Hidalgo,2021-02-01,MEAS,0,197
Jalisco,2021-02-01,MEAS,0,288
México,2021-02-01,MEAS,0,465
Michoacán,2021-02-01,MEAS,0,126
Morelos,2021-02-01,MEAS,0,13
Nayarit,2021-02-01,MEAS,0,0
Nuevo León,2021-02-01,MEAS,233,923
Oaxaca,2021-02-01,MEAS,0,25
Puebla,2021-02-01,MEAS,0,199
Querétaro,2021-02-01,MEAS,0,116
Quintana Roo,2021-02-01,MEAS,0,0
San Luis Potosí,2021-02-01,MEAS,0,69
Sinaloa,2021-02-01,MEAS,0,127
Sonora,2021-02-01,MEAS,243,238
Tabasco,2021-02-01,MEAS,44,426
Tamaulipas,2021-02-01,MEAS,4011,1050
Tlaxcala,2021-02-01,MEAS,0,5
Veracruz,2021-02-01,MEAS,168,697
Yucatán,2021-02-01,MEAS,0,149
Zacatecas,2021-02-01,MEAS,0,15
Aguascalientes,2021-02-01,CONF,0,11
Baja California,2021-02-01,CONF,327,346
Baja California Sur,2021-02-01,CONF,0,0
Campeche,2021-02-01,CONF,0,0
Coahuila,2021-02-01,CONF,44,184
Colima,2021-02-01,CONF,112,201
Chiapas,2021-02-01,CONF,844,75
Chihuahua,2021-02-01,CONF,965,352
Ciudad de México,2021-02-01,CONF,0,0
Durango,2021-02-01,CONF,0,539
Guanajuato,2021-02-01,CONF,0,346
Guerrero,2021-02-01,CONF,0,0
Hidalgo,2021-02-01,CONF,0,206
Jalisco,2021-02-01,CONF,0,204
México,2021-02-01,CONF,0,439
Michoacán,2021-02-01,CONF,0,138
Morelos,2021-02-01,CONF,0,14
Nayarit,2021-02-01,CONF,0,0
Nuevo León,2021-02-01,CONF,295,983
Oaxaca,2021-02-01,CONF,0,27
Puebla,2021-02-01,CONF,0,193
Querétaro,2021-02-01,CONF,0,111
Quintana Roo,2021-02-01,CONF,0,0
San Luis Potosí,2021-02-01,CONF,0,243
Sinaloa,2021-02-01,CONF,0,155
Sonora,2021-02-01,CONF,244,240
Tabasco,2021-02-01,CONF,42,358
Tamaulipas,2021-02-01,CONF,4244,1052
Tlaxcala,2021-02-01,CONF,0,5
Veracruz,2021-02-01,CONF,165,770
Yucatán,2021-02-01,CONF,0,153
Zacatecas,2021-02-01,CONF,0,4
Aguascalientes,2021-03-01,CONF,0,15
Baja California,2021-03-01,CONF,411,372
Baja California Sur,2021-03-01,CONF,0,0
Campeche,2021-03-01,CONF,0,0
Coahuila,2021-03-01,CONF,44,196
Colima,2021-03-01,CONF,34,216
Chiapas,2021-03-01,CONF,738,70
Chihuahua,2021-03-01,CONF,1169,380
Ciudad de México,2021-03-01,CONF,0,0
Durango,2021-03-01,CONF,0,684
Guanajuato,2021-03-01,CONF,0,372
Guerrero,2021-03-01,CONF,0,0
Hidalgo,2021-03-01,CONF,0,259
Jalisco,2021-03-01,CONF,0,246
México,2021-03-01,CONF,0,441
Michoacán,2021-03-01,CONF,0,159
Morelos,2021-03-01,CONF,0,18
Nayarit,2021-03-01,CONF,0,0
Nuevo León,2021-03-01,CONF,236,1012
Oaxaca,2021-03-01,CONF,0,33
Puebla,2021-03-01,CONF,0,218
Querétaro,2021-03-01,CONF,0,120
Quintana Roo,2021-03-01,CONF,0,0
San Luis Potosí,2021-03-01,CONF,0,169
Sinaloa,2021-03-01,CONF,0,145
Sonora,2021-03-01,CONF,258,261
Tabasco,2021-03-01,CONF,43,328
Tamaulipas,2021-03-01,CONF,4478,1056
Tlaxcala,2021-03-01,CONF,0,6
Veracruz,2021-03-01,CONF,166,850
Yucatán,2021-03-01,CONF,0,134
Zacatecas,2021-03-01,CONF,0,17
Aguascalientes,2021-03-01,MEAS,0,15
Baja California,2021-03-01,MEAS,615,372
Baja California Sur,2021-03-01,MEAS,0,0
Campeche,2021-03-01,MEAS,0,0
Coahuila,2021-03-01,MEAS,40,198
Colima,2021-03-01,MEAS,0,175
Chiapas,2021-03-01,MEAS,750,203
Chihuahua,2021-03-01,MEAS,960,441
Ciudad de México,2021-03-01,MEAS,0,0
Durango,2021-03-01,MEAS,0,672
Guanajuato,2021-03-01,MEAS,0,373
Guerrero,2021-03-01,MEAS,0,0
Hidalgo,2021-03-01,MEAS,0,263
Jalisco,2021-03-01,MEAS,0,365
México,2021-03-01,MEAS,0,433
Michoacán,2021-03-01,MEAS,0,159
Morelos,2021-03-01,MEAS,0,16
Nayarit,2021-03-01,MEAS,0,0
Nuevo León,2021-03-01,MEAS,241,1008
Oaxaca,2021-03-01,MEAS,0,19
Puebla,2021-03-01,MEAS,0,223
Querétaro,2021-03-01,MEAS,0,121
Quintana Roo,2021-03-01,MEAS,0,0
San Luis Potosí,2021-03-01,MEAS,0,175
Sinaloa,2021-03-01,MEAS,0,142
Sonora,2021-03-01,MEAS,269,261
Tabasco,2021-03-01,MEAS,48,424
Tamaulipas,2021-03-01,MEAS,4439,980
Tlaxcala,2021-03-01,MEAS,0,6
Veracruz,2021-03-01,MEAS,173,859
Yucatán,2021-03-01,MEAS,0,129
Zacatecas,2021-03-01,MEAS,0,17
Aguascalientes,2021-04-01,CONF,0,12
Baja California,2021-04-01,CONF,380,384
Baja California Sur,2021-04-01,CONF,0,0
Campeche,2021-04-01,CONF,0,0
Coahuila,2021-04-01,CONF,44,199
Colima,2021-04-01,CONF,0,212
Chiapas,2021-04-01,CONF,739,67
Chihuahua,2021-04-01,CONF,1202,471
Ciudad de México,2021-04-01,CONF,0,0
Durango,2021-04-01,CONF,0,755
Guanajuato,2021-04-01,CONF,0,352
Guerrero,2021-04-01,CONF,0,0
Hidalgo,2021-04-01,CONF,0,275
Jalisco,2021-04-01,CONF,0,246
México,2021-04-01,CONF,0,479
Michoacán,2021-04-01,CONF,0,169
Morelos,2021-04-01,CONF,0,27
Nayarit,2021-04-01,CONF,0,0
Nuevo León,2021-04-01,CONF,297,1074
Oaxaca,2021-04-01,CONF,0,35
Puebla,2021-04-01,CONF,0,220
Querétaro,2021-04-01,CONF,0,114
Quintana Roo,2021-04-01,CONF,0,0
San Luis Potosí,2021-04-01,CONF,0,228
Sinaloa,2021-04-01,CONF,0,165
Sonora,2021-04-01,CONF,278,271
Tabasco,2021-04-01,CONF,43,325
Tamaulipas,2021-04-01,CONF,4676,1015
Tlaxcala,2021-04-01,CONF,0,6
Veracruz,2021-04-01,CONF,166,897
Yucatán,2021-04-01,CONF,0,132
Zacatecas,2021-04-01,CONF,0,15
Aguascalientes,2021-04-01,MEAS,0,14
Baja California,2021-04-01,MEAS,380,420
Baja California Sur,2021-04-01,MEAS,0,0
Campeche,2021-04-01,MEAS,0,0
Coahuila,2021-04-01,MEAS,42,203
Colima,2021-04-01,MEAS,0,194
Chiapas,2021-04-01,MEAS,622,206
Chihuahua,2021-04-01,MEAS,1219,459
Ciudad de México,2021-04-01,MEAS,0,0
Durango,2021-04-01,MEAS,0,740
Guanajuato,2021-04-01,MEAS,0,345
Guerrero,2021-04-01,MEAS,0,0
Hidalgo,2021-04-01,MEAS,0,261
Jalisco,2021-04-01,MEAS,0,199
México,2021-04-01,MEAS,0,470
Michoacán,2021-04-01,MEAS,0,171
Morelos,2021-04-01,MEAS,0,24
Nayarit,2021-04-01,MEAS,0,0
Nuevo León,2021-04-01,MEAS,284,1058
Oaxaca,2021-04-01,MEAS,0,16
Puebla,2021-04-01,MEAS,0,220
Querétaro,2021-04-01,MEAS,0,115
Quintana Roo,2021-04-01,MEAS,0,0
San Luis Potosí,2021-04-01,MEAS,0,196
Sinaloa,2021-04-01,MEAS,0,170
Sonora,2021-04-01,MEAS,277,284
Tabasco,2021-04-01,MEAS,50,434
Tamaulipas,2021-04-01,MEAS,4520,975
Tlaxcala,2021-04-01,MEAS,0,6
Veracruz,2021-04-01,MEAS,195,852
Yucatán,2021-04-01,MEAS,0,128
Zacatecas,2021-04-01,MEAS,0,17
Aguascalientes,2021-05-01,CONF,0,13
Baja California,2021-05-01,CONF,405,441
Baja California Sur,2021-05-01,CONF,0,0
Campeche,2021-05-01,CONF,0,0
Coahuila,2021-05-01,CONF,43,190
Colima,2021-05-01,CONF,1,222
Chiapas,2021-05-01,CONF,640,79
Chihuahua,2021-05-01,CONF,1358,479
Ciudad de México,2021-05-01,CONF,0,0
Durango,2021-05-01,CONF,0,222
Guanajuato,2021-05-01,CONF,0,368
Guerrero,2021-05-01,CONF,0,0
Hidalgo,2021-05-01,CONF,0,256
Jalisco,2021-05-01,CONF,0,216
México,2021-05-01,CONF,0,471
Michoacán,2021-05-01,CONF,0,181
Morelos,2021-05-01,CONF,0,28
Nayarit,2021-05-01,CONF,0,0
Nuevo León,2021-05-01,CONF,321,1075
Oaxaca,2021-05-01,CONF,0,31
Puebla,2021-05-01,CONF,0,217
Querétaro,2021-05-01,CONF,0,117
Quintana Roo,2021-05-01,CONF,0,0
San Luis Potosí,2021-05-01,CONF,0,334
Sinaloa,2021-05-01,CONF,0,131
Sonora,2021-05-01,CONF,227,447
Tabasco,2021-05-01,CONF,51,397
Tamaulipas,2021-05-01,CONF,4574,986
Tlaxcala,2021-05-01,CONF,0,6
Veracruz,2021-05-01,CONF,199,854
Yucatán,2021-05-01,CONF,0,161
Zacatecas,2021-05-01,CONF,0,15
Aguascalientes,2021-05-01,MEAS,0,13
Baja California,2021-05-01,MEAS,417,417
Baja California Sur,2021-05-01,MEAS,0,0
Campeche,2021-05-01,MEAS,0,0
Coahuila,2021-05-01,MEAS,39,184
Colima,2021-05-01,MEAS,1,249
Chiapas,2021-05-01,MEAS,689,244
Chihuahua,2021-05-01,MEAS,1351,464
Ciudad de México,2021-05-01,MEAS,0,0
Durango,2021-05-01,MEAS,0,209
Guanajuato,2021-05-01,MEAS,0,368
Guerrero,2021-05-01,MEAS,0,0
Hidalgo,2021-05-01,MEAS,0,262
Jalisco,2021-05-01,MEAS,0,183
México,2021-05-01,MEAS,0,459
Michoacán,2021-05-01,MEAS,0,183
Morelos,2021-05-01,MEAS,0,28
Nayarit,2021-05-01,MEAS,0,0
Nuevo León,2021-05-01,MEAS,332,1096
Oaxaca,2021-05-01,MEAS,0,21
Puebla,2021-05-01,MEAS,0,216
Querétaro,2021-05-01,MEAS,0,108
Quintana Roo,2021-05-01,MEAS,0,0
San Luis Potosí,2021-05-01,MEAS,0,296
Sinaloa,2021-05-01,MEAS,0,139
Sonora,2021-05-01,MEAS,233,329
Tabasco,2021-05-01,MEAS,58,447
Tamaulipas,2021-05-01,MEAS,4537,952
Tlaxcala,2021-05-01,MEAS,0,6
Veracruz,2021-05-01,MEAS,210,864
Yucatán,2021-05-01,MEAS,0,155
Zacatecas,2021-05-01,MEAS,0,15
Aguascalientes,2021-06-01,CONF,0,12
Baja California,2021-06-01,CONF,568,556
Baja California Sur,2021-06-01,CONF,0,0
Campeche,2021-06-01,CONF,0,0
Coahuila,2021-06-01,CONF,44,217
Colima,2021-06-01,CONF,0,283
Chiapas,2021-06-01,CONF,611,77
Chihuahua,2021-06-01,CONF,1386,540
Ciudad de México,2021-06-01,CONF,0,0
Durango,2021-06-01,CONF,0,263
Guanajuato,2021-06-01,CONF,0,377
Guerrero,2021-06-01,CONF,0,0
Hidalgo,2021-06-01,CONF,0,266
Jalisco,2021-06-01,CONF,0,92
México,2021-06-01,CONF,0,503
Michoacán,2021-06-01,CONF,0,152
Morelos,2021-06-01,CONF,0,10
Nayarit,2021-06-01,CONF,0,0
Nuevo León,2021-06-01,CONF,390,1069
Oaxaca,2021-06-01,CONF,0,35
Puebla,2021-06-01,CONF,0,220
Querétaro,2021-06-01,CONF,0,113
Quintana Roo,2021-06-01,CONF,0,0
San Luis Potosí,2021-06-01,CONF,0,392
Sinaloa,2021-06-01,CONF,0,177
Sonora,2021-06-01,CONF,301,391
Tabasco,2021-06-01,CONF,49,377
Tamaulipas,2021-06-01,CONF,4726,972
Tlaxcala,2021-06-01,CONF,0,6
Veracruz,2021-06-01,CONF,202,804
Yucatán,2021-06-01,CONF,0,166
Zacatecas,2021-06-01,CONF,0,14
