Date,RMS,DMS FB,DMS IB
2020-03-12,543.246,532.409,7.904
2020-03-13,554.024,530.809,7.909
2020-03-14,542.282,508.329,8.047
2020-03-15,439.598,466.896,6.842
2020-03-16,461.598,456.002,7.212
2020-03-17,507.719,502.295,7.714
2020-03-18,535.935,518.628,8.308
2020-03-19,473.005,454.682,7.994
2020-03-20,487.66,465.878,7.513
2020-03-21,405.575,390.847,7.607
2020-03-22,410.117,397.275,7.536
2020-03-23,419.291,403.725,8.756
2020-03-24,454.896,451.256,8.506
2020-03-25,478.812,458.429,8.521
2020-03-26,469.146,454.723,8.711
2020-03-27,568.568,522.878,7.497
2020-03-28,579.079,549.436,8.818
2020-03-29,573.8,535.378,8.424
2020-03-30,623.755,578.973,10.544
2020-03-31,569.305,567.035,8.347
2020-04-01,669.213,649.271,7.741
2020-04-02,661.691,638.399,8.202
2020-04-03,773.365,778.348,8.392
2020-04-04,638.707,564.519,7.43
2020-04-05,507.232,486.827,6.807
2020-04-06,556.524,549.965,7.676
2020-04-07,579.372,573.956,6.675
2020-04-08,589.08,568.475,7.565
2020-04-09,623.37,594.018,7.92
2020-04-10,449.749,428.721,7.356
2020-04-11,421.402,427.258,6.877
2020-04-12,499.457,451.909,7.758
2020-04-13,366.596,361.114,7.406
2020-04-14,520.949,504.627,7.023
2020-04-15,469.92,442.175,7.922
2020-04-16,288.999,328.718,5.97
2020-04-17,490.462,424.707,7.026
2020-04-18,432.522,453.018,6.367
2020-04-19,418.074,374.851,7.981
2020-04-20,378.601,408.768,6.65
2020-04-21,450.78,409.232,6.609
2020-04-22,508.93,510.054,5.469
2020-04-23,631.159,577.211,6.223
2020-04-24,525.497,498.381,5.806
2020-04-25,408.239,391.26,6.218
2020-04-26,410.691,393.869,7.291
2020-04-27,380.615,369.232,6.477
2020-04-28,251.511,281.942,5.378
2020-04-29,438.185,409.379,5.639
2020-04-30,446.164,423.614,5.071
2020-05-01,447.488,428.13,5.424
2020-05-02,413.643,390.751,5.912
2020-05-03,318.261,329.466,6.457
2020-05-04,378.522,381.356,5.9
2020-05-05,300.428,287.64,5.502
2020-05-06,370.9,377.401,4.204
2020-05-07,520.244,472.844,4.605
2020-05-08,468.382,442.596,5.684
2020-05-09,397.573,373.151,6.124
2020-05-10,409.05,391.088,4.871
2020-05-11,377.867,360.608,4.894
2020-05-12,384.753,375.315,5.655
2020-05-13,334.041,369.448,6.19
2020-05-14,416.254,401.633,6.388
2020-05-15,406.472,386.11,5.596
2020-05-16,461.104,432.178,5.825
2020-05-17,383.27,408.032,5.76
2020-05-18,447.896,429.616,5.704
2020-05-19,551.615,509.893,5.378
2020-05-20,524.211,492.728,5.168
2020-05-21,468.414,438.705,4.278
2020-05-22,505.671,484.069,4.787
2020-05-23,526.824,496.445,5.407
2020-05-24,482.045,460.155,4.772
2020-05-25,472.969,462.996,4.923
2020-05-26,493.911,492.704,5.975
2020-05-27,466.118,445.604,5.324
2020-05-28,502.21,494.515,5.289
2020-05-29,504.082,471.519,5.224
2020-05-30,425.083,429.489,5.124
2020-05-31,426.848,390.454,5.388
2020-06-01,480.88,471.993,5.249
2020-06-02,617.76,599.723,6.312
2020-06-03,614.97,586.349,5.591
2020-06-04,601.974,587.5,5.463
2020-06-05,568.178,561.618,5.662
