Date,NER1,NER2,NER3,NER4,NER5
2020-02-16,189360,66649,12003,41383,99972
2020-02-17,182011,107436,41,48731,115386
2020-02-18,204741,131210,6435,49472,117252
2020-02-19,213962,139114,21038,51992,120071
2020-02-20,195931,99043,8659,52605,113752
2020-02-21,253878,140671,14741,50762,120159
2020-02-22,189496,109760,5,41815,87804
2020-02-23,145200,120130,19938,40048,17314
2020-02-24,230258,139568,44,49194,122845
2020-02-25,199844,121778,43,49688,111389
2020-02-26,197276,123760,2949,52923,109379
2020-02-27,211123,129277,7288,51924,117843
2020-02-28,219556,117312,173,47031,110030
2020-02-29,205244,72697,35327,39548,57763
2020-03-01,,,,,
2020-03-02,,,,,
2020-03-03,246465,141345,42224,51286,119022
2020-03-04,257814,124605,42684,51133,133207
2020-03-05,216447,132851,20843,50920,105930
2020-03-06,165186,73285,9696,48266,86046
2020-03-07,149131,6,43188,41823,80998
2020-03-08,50384,50386,10648,38349,11960
2020-03-09,196566,136714,35,49868,98049
2020-03-10,215808,132676,9014,44092,121975
2020-03-11,210413,137302,50,53268,119673
2020-03-12,2104171,135677,45,52390,117293
2020-03-13,228887,131105,47,49676,116389
2020-03-14,239448,135768,50,35638,65534
2020-03-15,181088,129266,50,35638,65534
2020-03-16,170934,139459,49,40308,75893
2020-03-17,260620,144235,44,52480,121458
2020-03-18,240848,143660,102,52806,117584
2020-03-19,260512,144507,6063,51698,117720
2020-03-20,272257,136239,27864,49778,116976
2020-03-21,233681,141821,53,44089,97371
2020-03-22,185031,133756,43,39392,59987
2020-03-23,235294,144674,26,51279,117529
2020-03-24,250610,144899,27836,49803,118028
2020-03-25,271988,143924,27841,48120,117091
2020-03-26,236174,143246,37,51392,119396
2020-03-27,228462,143076,34,4399,124656
2020-03-28,231871,144121,1054,38512,124262
2020-03-29,238349,142114,14284,37803,120534
2020-03-30,280042,143014,21879,46133,123597
2020-03-31,272565,144636,33049,44890,124284
2020-04-01,241279,130574,2407,42486,116310
2020-04-02,229835,141882,46,42091,122910
2020-04-03,242414,118247,182,41546,84393
2020-04-04,,,,,
2020-04-05,,,,,
2020-04-06,245720,142933,316,39904,125658
2020-04-07,246514,139198,43,38100,114908
2020-04-08,241848,141142,41,34366,121711
2020-04-09,211219,117251,45,32098,117459
2020-04-10,241769,141985,36,29997,27400
2020-04-11,105104,71904,27,28144,71407
2020-04-12,63932,39815,33,27599,75959
2020-04-13,220848,146869,36,37456,113288
2020-04-14,198553,109378,0,40139,107245
2020-04-15,171223,110636,0,39946,95541
2020-04-16,208394,134345,0,40242,108590
2020-04-17,241648,129477,0,36932,113220
2020-04-18,214307,141945,0,32502,115869
2020-04-19,201998,129460,0,31946,113764
2020-04-20,225500,144066,0,38206,121006
2020-04-21,237588,143266,0,38804,121928
2020-04-22,229368,142675,0,36168,120183
2020-04-23,232466,145609,0,34084,125118
2020-04-24,232515,145101,0,33571,105978
2020-04-25,205364,144897,0,31266,120645
2020-04-26,200685,139212,0,28282,110674
2020-04-27,242900,138237,8,33796,107937
2020-04-28,236293,142645,12,35335,117181
2020-04-29,222576,134285,9,34169,109024
