Date,TLA1,TLA2,TLA3,TLA4,TLA5,TLA6
2020-01-30,97567,0,0,0,180,0
2020-01-31,97313,0,0,0,254,0
2020-02-01,97064,0,0,0,249,0
2020-02-02,96804,0,0,0,261,0
2020-02-03,96552,0,0,0,252,0
2020-02-04,96293,0,0,0,259,0
2020-02-05,96056,0,0,0,237,0
2020-02-06,95848,0,0,0,208,0
2020-02-07,95604,0,0,0,244,0
2020-02-08,95268,0,0,0,335,0
2020-02-09,95000,0,0,0,269,0
2020-02-10,94694,0,0,0,305,0
2020-02-11,94248,0,0,0,446,0
2020-02-12,93793,0,0,0,456,0
2020-02-13,93561,0,0,0,231,0
2020-02-14,93233,0,0,0,328,0
2020-02-15,92777,0,0,0,456,0
2020-02-16,92661,0,0,0,116,0
2020-02-17,92016,0,0,0,645,0
2020-02-18,91656,0,0,0,360,0
2020-02-19,91438,0,0,0,217,0
2020-02-20,91193,0,0,0,245,0
2020-02-21,90790,0,0,0,403,0
2020-02-22,90516,0,0,0,274,0
2020-02-23,90389,0,0,0,126,0
2020-02-24,89958,0,0,0,431,0
2020-02-25,89525,0,0,0,433,0
2020-02-26,89148,0,0,0,377,0
2020-02-27,88944,0,0,0,203,0
2020-02-28,88889,0,0,0,55,0
2020-02-29,88743,0,0,0,146,0
2020-03-01,88480,0,0,0,263,0
2020-03-02,88192,0,0,0,288,0
2020-03-03,87938,0,0,0,255,0
2020-03-04,87639,0,0,0,299,0
2020-03-05,87470,0,0,0,169,0
2020-03-06,87201,0,0,0,269,0
2020-03-07,86754,0,0,0,447,0
2020-03-08,86248,0,0,0,506,0
2020-03-09,85832,0,0,0,416,0
2020-03-10,85515,0,0,0,317,0
2020-03-11,85515,0,0,0,0,0
2020-03-12,85255,0,0,0,519,0
2020-03-13,84979,0,0,0,276,0
2020-03-14,84787,0,0,0,192,0
2020-03-15,84580,0,0,0,207,0
2020-03-16,84346,0,0,0,234,0
2020-03-17,83867,0,0,0,478,0
2020-03-18,83363,0,0,0,505,0
2020-03-19,82969,0,0,0,393,0
2020-03-20,82652,0,0,0,317,0
2020-03-21,82774,0,0,0,0,0
2020-03-22,82513,0,0,0,261,0
2020-03-23,82227,0,0,0,287,0
2020-03-24,82060,0,0,0,166,0
2020-03-25,81890,0,0,0,171,0
2020-03-26,81658,0,0,0,232,0
2020-03-27,81159,0,0,0,499,0
2020-03-28,80765,0,0,0,394,0
2020-03-29,80434,0,0,0,331,0
2020-03-30,80088,0,0,0,347,0
2020-03-31,79687,0,0,0,401,0
2020-04-01,79310,0,0,0,377,0
2020-04-02,79084,0,0,0,226,0
2020-04-03,78691,0,0,0,393,0
2020-04-04,78344,0,0,0,347,0
2020-04-05,77985,0,0,0,359,0
2020-04-06,77787,0,0,0,199,0
2020-04-07,77431,0,0,0,356,0
2020-04-08,77085,0,0,0,346,0
2020-04-09,76835,0,0,0,250,0
2020-04-10,76451,0,0,0,384,0
2020-04-11,76200,0,0,0,251,0
2020-04-12,75846,0,0,0,355,0
2020-04-13,75610,0,0,0,235,0
2020-04-14,75213,0,0,0,398,0
2020-04-15,74991,0,0,0,222,0
2020-04-16,74724,0,0,0,267,0
2020-04-17,74314,0,0,0,410,0
2020-04-18,73892,0,0,0,422,0
2020-04-19,73507,0,0,0,386,0
2020-04-20,73568,0,0,0,0 0,0
2020-04-21,73308,0,0,0,260,0
2020-04-22,72904,0,0,0,405,0
2020-04-23,72469,0,0,0,435,0
2020-04-24,72066,0,0,0,403,0
2020-04-25,71844,0,0,0,222,0
2020-04-26,71482,0,0,0,362,0
2020-04-27,71243,0,0,0,239,0
2020-04-28,70912,0,0,0,331,0
2020-04-29,70518,0,0,0,395,0
2020-04-30,70237,0,0,0,281,0
