Date,KMMty1,KMMty2
2020-05-23,318794,0
2020-05-24,387970,0
2020-05-25,390535,0
2020-05-26,395195,0
2020-05-27,426229,0
2020-05-28,459166,0
2020-05-29,427094,0
2020-05-30,443205,0
2020-05-31,321048,0
2020-06-01,478799,0
2020-06-02,416470,0
2020-06-03,437497,0
2020-06-04,405592,0
2020-06-05,445476,0
2020-06-06,399638,0
2020-06-07,437317,0
2020-06-08,419919,0
2020-06-09,412575,0
2020-06-10,531679,0
2020-06-11,536016,0
2020-06-12,534936,0
2020-06-13,487307,0
2020-06-14,388274,0
2020-06-15,535362,0
2020-06-16,470851,0
2020-06-17,533590,0
2020-06-18,533576,0
2020-06-19,523119,0
2020-06-20,483541,0
2020-06-21,410185,0
2020-06-22,460590,0
2020-06-23,522587,0
2020-06-24,477727,0
2020-06-25,471965,0
2020-06-26,468559,0
2020-06-27,379564,0
2020-06-28,339739,0
2020-06-29,461338,0
2020-06-30,461237,0
2020-07-01,479635,0
2020-07-02,479914,0
2020-07-03,473715,0
2020-07-04,445918,0
2020-07-05,414641,0
2020-07-06,508866,0
2020-07-07,529843,0
2020-07-08,532507,0
2020-07-09,528369,0
2020-07-10,527276,0
2020-07-11,524779,0
2020-07-12,488719,0
2020-07-13,527718,0
2020-07-14,552514,0
2020-07-15,561508,0
2020-07-16,526500,0
2020-07-17,559397,0
2020-07-18,526317,0
2020-07-19,485193,0
2020-07-20,533066,0
2020-07-21,537596,0
2020-07-22,528480,0
2020-07-23,552062,0
2020-07-24,559775,0
2020-07-25,510017,0
2020-07-26,514242,0
2020-07-27,387299,0
2020-07-28,386129,0
2020-07-29,496583,0
2020-07-30,433984,0
2020-07-31,526051,0
2020-08-01,541183,0
2020-08-02,525528,0
2020-08-03,550813,0
2020-08-04,570184,0
2020-08-05,569481,0
2020-08-06,567149,0
2020-08-07,525451,0
2020-08-08,508069,0
2020-08-09,489189,0
2020-08-10,523948,0
2020-08-11,527839,0
2020-08-12,527516,0
2020-08-13,529833,0
2020-08-14,529185,0
2020-08-15,522937,0
2020-08-16,526220,0
2020-08-17,531632,0
2020-08-18,530575,0
2020-08-19,529060,0
2020-08-20,585049,0
2020-08-21,583456,0
2020-08-22,524445,0
2020-08-23,531514,0
2020-08-24,534219,0
2020-08-25,571261,0
2020-08-26,572282,0
2020-08-27,572126,0
2020-08-28,576098,0
2020-08-29,565900,0
2020-08-30,418125,0
2020-08-31,565300,0
2020-09-01,558792,0
2020-09-02,539403,0
2020-09-03,551943,0
2020-09-04,537273,0
2020-09-05,526212,0
