Date,FPL1001,FPL2003
2021-02-09,,658502.9644
2021-02-10,,638493.2029
2021-02-11,,507520.2385
2021-02-12,,357750.2301
2021-02-13,,254669.6548
2021-02-14,,173417.9122
2021-02-15,,81251.74264
2021-02-16,,171598.841
2021-02-17,,169173.4163
2021-02-18,,154620.8577
2021-02-19,,113388.6276
2021-02-20,,137642.8849
2021-02-21,,137642.8849
2021-02-22,,187970.4603
2021-02-23,,316518
2021-02-24,,323187.9205
2021-02-25,,319852.9603
2021-02-26,,321520.4404
2021-02-27,,320686.7003
2021-02-28,,321103.5651
2021-03-01,,"369,844.40"
2021-03-02,,"366,403.99"
2021-03-03,,"369,844.40"
2021-03-04,,"366,403.99"
2021-03-05,,"534,410.83"
2021-03-06,,"581,429.81"
2021-03-07,,"490,832.26"
2021-03-08,,"500,580.10"
2021-03-09,,"508,034.33"
2021-03-10,,"498,859.89"
2021-03-11,,"527,530.00"
2021-03-12,,"509,181.14"
2021-03-13,,"474,777.00"
2021-03-14,,"469,042.98"
2021-03-15,,"469,616.39"
2021-03-16,,"524,662.99"
2021-03-17,,"571,681.97"
2021-03-18,,"590,030.84"
2021-03-19,,"567,094.75"
2021-03-20,,"518,928.97"
2021-03-21,,"467,322.77"
2021-03-22,,"552,759.69"
2021-03-23,,"585,443.61"
2021-03-24,,"560,213.92"
2021-03-25,,"522,942.78"
2021-03-26,,"524,089.59"
2021-03-27,,"538,998.05"
2021-03-28,,"492,552.47"
2021-03-29,,"527,530.00"
2021-03-30,,"557,920.32"
2021-03-31,,"542,725.15"
2021-04-01,,"497,927.60"
2021-04-02,,"474,397.48"
2021-04-03,,"482,746.88"
2021-04-04,,"509,313.13"
2021-04-05,,"500,963.74"
2021-04-06,,"575,349.27"
2021-04-07,,"565,481.80"
2021-04-08,,"585,216.73"
2021-04-09,,"570,795.05"
2021-04-10,,"558,650.47"
2021-04-11,,"566,999.87"
2021-04-12,,"566,999.87"
2021-04-13,,"620,132.38"
2021-04-14,,"673,264.91"
2021-04-15,,"743,096.22"
2021-04-16,,"655,048.04"
2021-04-17,,"497,927.60"
2021-04-18,,"490,337.24"
2021-04-19,,"513,108.32"
2021-04-20,,"593,566.13"
2021-04-21,,"582,939.63"
2021-04-22,,"595,084.20"
2021-04-23,,"621,650.46"
2021-04-24,,"602,674.56"
2021-04-25,,"549,542.04"
2021-04-26,,"586,734.81"
2021-04-27,,"532,084.22"
2021-04-28,,"609,505.88"
2021-04-29,,"585,975.77"
2021-04-30,,"597,740.82"
2021-05-01,"553,334.00","552,784.00"
2021-05-02,"491,187.00","510,481.00"
2021-05-03,"596,061.00","577,996.00"
2021-05-04,"619,056.00","625,574.00"
2021-05-05,"695,792.00","697,979.00"
2021-05-06,"654,307.00","619,456.00"
2021-05-07,"631,204.00","623,284.00"
2021-05-08,"576,312.00","581,352.00"
2021-05-09,"584,043.00","581,317.00"
2021-05-10,"635,851.00","645,100.00"
2021-05-11,"641,713.00","644,099.00"
2021-05-12,"611,608.00","607,536.00"
2021-05-13,"604,957.00","606,166.00"
2021-05-14,"546,628.00","566,470.00"
2021-05-15,"249,839.00","333,581.00"
2021-05-16,"574,881.00","518,369.00"
2021-05-17,"646,400.00","631,109.00"
2021-05-18,"570,664.00","638,211.00"
2021-05-19,"639,008.00","630,812.00"
2021-05-20,"640,913.00","364,049.00"
2021-05-21,"672,394.00","657,941.00"
2021-05-22,"629,137.00","621,166.00"
2021-05-23,"622,780.00","637,507.00"
2021-05-24,"679,907.00","678,778.00"
2021-05-25,0,"647,227.00"
2021-05-26,0,"588,855.00"
2021-05-27,0,"575,806.00"
2021-05-28,0,"640,103.00"
2021-05-29,0,"697,493.00"
2021-05-30,0,"663,579.00"
2021-05-31,0,"680,536.00"
2021-06-01,"583,218.00","594,800.00"
2021-06-02,"689,970.00","660,927.00"
2021-06-03,"724,962.00","684,978.00"
2021-06-04,"677,794.00","652,221.00"
2021-06-05,"531,669.00","572,204.00"
2021-06-06,"498,067.00","509,097.00"
2021-06-07,"545,451.00","565,385.00"
2021-06-08,"698,789.00","700,469.00"
2021-06-09,"727,110.00","747,618.00"
2021-06-10,727877,"742,622.00"
2021-06-11,694452,"697,868.00"
2021-06-12,677519,"660,663.00"
2021-06-13,678226,"644,275.00"
2021-06-14,658840,"614,441.00"
2021-06-15,692385,"666,998.00"
2021-06-16,675435,"626,488.00"
2021-06-17,675569,"660,676.00"
2021-06-18,626610,"718,658.00"
2021-06-19,628574,"628,105.00"
2021-06-20,666526,"596,643.00"
2021-06-21,664557,"570,824.00"
2021-06-22,713377,"693,519.00"
2021-06-23,574573,"646,902.00"
2021-06-24,660289,"640,024.00"
2021-06-25,621939,"600,458.00"
2021-06-26,367098,"477,423.00"
2021-06-27,230572,"449,870.00"
2021-06-28,298835,463646
2021-06-29,264703,456758
2021-06-30,281769,460202
2021-07-01,537972,524818
2021-07-02,525267,523909
2021-07-03,377922,447138
2021-07-04,471936,480002
2021-07-05,530432,541198
2021-07-06,640980,601544
2021-07-07,682862,667878
2021-07-08,697662,695118
2021-07-09,645818,639411
2021-07-10,572011,576335
2021-07-11,565119,561705
2021-07-12,608062,584093
2021-07-13,428172,496779
2021-07-14,612003,619600
2021-07-15,613879,614238
2021-07-16,629277,628061
2021-07-17,621395,611736
2021-07-18,578249,560052
2021-07-19,600393,615417
2021-07-20,725272,682172
2021-07-21,801078,737025
2021-07-22,636405,646052
2021-07-23,529833,546646
2021-07-24,473780,473013
2021-07-25,467635,448208
2021-07-26,561080,550375
2021-07-27,631378,649291
2021-07-28,630486,610264
2021-07-29,585558,570083
2021-07-30,,
2021-07-31,,
2021-08-01,352378,386719
2021-08-02,531994,509739
2021-08-03,574043,576983
2021-08-04,594951,591898
2021-08-05,568987,540299
2021-08-06,541401,530846
2021-08-07,466898,482154
2021-08-08,386090,409825
2021-08-09,431068,442629
2021-08-10,422735,430133
2021-08-11,446983,443810
2021-08-12,490089,477862
2021-08-13,456612,456612
2021-08-14,468787,453481
2021-08-15,335412,350883
2021-08-16,554937,545992
2021-08-17,635327,626213
2021-08-18,628306,615811
2021-08-19,589210,597315
2021-08-20,616749,651710
2021-08-21,665127,648105
2021-08-22,535532,520366
2021-08-23,554290,557356
2021-08-24,716104,697331
2021-08-25,526091,616693
2021-08-26,613891,702064
2021-08-27,466384,687379
2021-08-28,451313,519114
2021-08-29,531640,516179
2021-08-30,637055,584459
2021-08-31,,
2021-09-01,548165,587161
2021-09-02,464626,485465
2021-09-03,573048,550304
2021-09-04,464285,474982
2021-09-05,462635,462635
2021-09-06,390078,499003
2021-09-07,585269,543292
2021-09-08,560516,557301
2021-09-09,533922,547393
2021-09-10,572008,557904
2021-09-11,508808,513680
2021-09-12,459639,466378
2021-09-13,509634,506498
2021-09-14,610806,597861
2021-09-15,581900,576958
2021-09-16,576445,580631
2021-09-17,516666,529534
2021-09-18,570135,570776
2021-09-19,571029,569263
2021-09-20,578559,594284
2021-09-21,684378,679796
2021-09-22,706421,700045
2021-09-23,678115,647644
2021-09-24,520506,532207
2021-09-25,478264,489277
2021-09-26,380081,407874
2021-09-27,558586,549758
2021-09-28,0,593325
2021-09-29,0,588878
