"","Date","node","volume"
"117",2024-03-23,"SIS",49.6895133203
"118",2024-03-23,"KM_Hueco",126.4720760189
"119",2024-03-24,"SIS",53.928018929
"120",2024-03-24,"KM_Hueco",113.310040126
"121",2024-03-25,"SIS",44.6333311478
"122",2024-03-25,"KM_Hueco",151.6089735348
"123",2024-03-26,"SIS",78.907871974
"124",2024-03-26,"KM_Hueco",147.5770942358
"125",2024-03-27,"SIS",131.4846445369
"126",2024-03-27,"KM_Hueco",103.8858533399
"127",2024-03-28,"SIS",78.3132430554
"128",2024-03-28,"KM_Hueco",91.898737516
"129",2024-03-29,"SIS",65.9266120304
"130",2024-03-29,"KM_Hueco",88.785040417
"131",2024-03-30,"SIS",67.7351837615
"132",2024-03-30,"KM_Hueco",88.4948242124
"133",2024-03-31,"SIS",98.9210302963
"134",2024-03-31,"KM_Hueco",88.7813676882
"135",2024-04-01,"SIS",134.4263590469
"136",2024-04-01,"KM_Hueco",87.9033029874
"137",2024-04-02,"SIS",124.5037052703
"138",2024-04-02,"KM_Hueco",117.2722788366
"139",2024-04-03,"SIS",104.2841325265
"140",2024-04-03,"KM_Hueco",117.9813980126
"141",2024-04-04,"SIS",102.9125095785
"142",2024-04-04,"KM_Hueco",108.8810117108
"143",2024-04-05,"SIS",98.1708048095
"144",2024-04-05,"KM_Hueco",97.115425
"145",2024-04-06,"SIS",101.5643002766
"146",2024-04-06,"KM_Hueco",97.115425
"147",2024-04-07,"SIS",125.2480685169
"148",2024-04-07,"KM_Hueco",102.0197186478
"149",2024-04-08,"SIS",109.1867310687
"150",2024-04-08,"KM_Hueco",111.8775346352
"151",2024-04-09,"SIS",105.4238085249
"152",2024-04-09,"KM_Hueco",111.1286157923
"153",2024-04-10,"SIS",136.4253829551
"154",2024-04-10,"KM_Hueco",113.8761700817
"155",2024-04-11,"SIS",130.5020130094
"156",2024-04-11,"KM_Hueco",115.873887346
"157",2024-04-12,"SIS",118.071521127
