Date,NMYK1,NMYK2
2021-09-07,161512,149603
2021-09-08,172692,160283
2021-09-09,169348,157131
2021-09-10,167436,155032
2021-09-11,156152,144603
2021-09-12,143505,132001
2021-09-13,144088,132001
2021-09-14,148126,136001
2021-09-15,148149,136001
2021-09-16,156717,144603
2021-09-17,166839,155118
2021-09-18,167780,156000
2021-09-19,132735,121000
2021-09-20,163870,151904
2021-09-21,160745,148705
2021-09-22,158497,146501
2021-09-23,154417,142500
2021-09-24,116937,104823
2021-09-25,125785,114001
2021-09-26,115736,104001
2021-09-27,120972,109001
2021-09-28,113136,98501
2021-09-29,116889,103500
2021-09-30,117007,103500
