Date,SAGU1,SAGU2,SAGU3,SAGU4,SAGU5,SAGU6,SAGU7
2020-05-07,152314,0,0,5963,0,33174,111066
2020-05-08,160927,0,0,4322,0,42652,111842
2020-05-09,155468,0,0,4322,0,28434,120601
2020-05-10,155468,0,0,4322,0,28434,120601
2020-05-11,155468,0,0,4322,0,28434,120601
2020-05-12,176158,0,0,7198,0,61608,104390
2020-05-13,145987,0,0,6570,0,28434,108023
2020-05-14,135229,0,0,5803,0,25591,100876
2020-05-15,142664,0,0,7031,0,23696,108978
2020-05-16,137022,0,0,4322,0,23696,106046
2020-05-17,137018,0,0,4322,0,23696,106042
2020-05-18,134659,0,0,3661,0,22748,105292
2020-05-19,131818,0,0,3000,0,21800,104061
2020-05-20,132777,0,0,3000,0,21800,105019
2020-05-21,142553,0,0,3000,0,27669,108925
2020-05-22,137565,0,0,1998,0,23696,108999
2020-05-23,139506,0,0,2000,0,24407,110141
2020-05-24,139142,0,0,2000,0,24229,109977
2020-05-25,139749,0,0,2000,0,24407,110384
2020-05-26,139749,0,0,2000,0,24407,110384
2020-05-27,145235,0,0,2000,0,28434,111842
2020-05-28,134290,0,0,2000,0,29382,99950
2020-05-29,141444,0,0,2000,0,28434,108051
2020-05-30,141444,0,0,2000,0,28434,108051
2020-05-31,141444,0,0,2000,0,28434,108051
2020-06-01,127191,0,0,3000,0,28434,92800
2020-06-02,141131,0,0,1003,0,30330,108800
2020-06-03,146236,0,0,3000,0,31278,108999
2020-06-04,145934,0,0,1750,0,32226,108999
2020-06-05,145632,0,0,500,0,33174,108999
2020-06-06,153820,0,0,500,0,35283.5,115076.5
2020-06-07,162008,0,0,500,0,37393,121154
2020-06-08,142840,0,0,500,0,33226,106155
2020-06-09,159270,0,0,500,0,47390,108419
2020-06-10,152563,0,0,500,0,52130,96973
2020-06-11,131497,0,0,500,0,52130,75909
2020-06-12,140521,0,0,500,0,52130,84933
2020-06-13,143884,0,0,500,0,50550,89875
2020-06-14,148159,0,0,500,0,50550,94150
2020-06-15,148159,0,0,500,0,50550,94150
2020-06-16,141483,0,0,500,0,52130,85894
2020-06-17,148978,0,0,500,0,56869,88649
2020-06-18,174694,0,0,500,0,61608,109624
2020-06-19,167757,0,0,2900,0,61608,100288
2020-06-20,159259,0,0,3700,0,55289,97309
2020-06-21,147688,0,0,1249.88,0,35152,108333
2020-06-22,139485,0,0,1500,0,34154,100872
2020-06-23,137540,0,0,3700,0,58764,73930
2020-06-24,142837,0,0,3700,0,66347,69831
2020-06-25,152170,0,0,3700,0,73930,71581
2020-06-26,160596,0,0,3700,0,70528,83408
2020-06-27,145582,0,0,4100,0,52130,86393
2020-06-28,147688,0,0,1250,0,35152,108333
2020-06-29,139485,0,0,1500,0,34154,100872
2020-06-30,106957,0,0,4100,0,42652,57250
2020-07-01,162104,0,0,3900,0,58764,96479
2020-07-02,174981,0,0,3900,0,71086,97033
2020-07-03,145694,0,0,3900,0,42652,96183
2020-07-04,134280,0,0,3900,0,42652,84771
2020-07-05,131141,0,0,3900,0,75825,48458
2020-07-06,132179,0,0,3900,0,69714,55607
2020-07-07,176362,0,0,3900,0,90042,79458
2020-07-08,194453,0,0,3900,0,90042,83737
2020-07-09,202100,0,0,3900,0,94782,100454
2020-07-10,197136,0,0,3900,0,99520,90752
2020-07-11,191064,0,0,3900,0,93202,90999
2020-07-12,188704,0,0,3900,0,93202,88639
2020-07-13,193256,0,0,3900,0,93202,93191
2020-07-14,187080,0,0,3900,0,90042,90175
2020-07-15,170754,0,0,3500,0,90042,74251
2020-07-16,189525,0,0,3500,0,90042,93020
2020-07-17,152302,0,0,2841,0,45614,100898
2020-07-18,155667,0,0,3500,0,88463,63439
2020-07-19,146627,0,0,3500,0,88463,54400
2020-07-20,128681,0,0,3500,0,88463,36455
2020-07-21,144437,0,0,3500,0,90042,50631
2020-07-22,149994,0,0,3500,0,90042,56187
2020-07-23,139259,0,0,3500,0,90042,45453
2020-07-24,155546,0,0,3900,0,85303,66077
2020-07-25,180712,0,0,3000,0,82144,95300
2020-07-26,153145,0,0,2114,0,59391,89067
2020-07-27,146298,0,0,2186,0,57638,83900
2020-07-28,120378,0,0,3000,0,42652,74465
2020-07-29,122542,0,0,3000,0,90042,29238
2020-07-30,175516,0,0,3000,0,90042,82207
2020-07-31,122956,0,0,3000,0,47390,72304
2020-08-01,156852,0,0,4588,0,80564,71535
2020-08-02,167908,0,0,4588,0,80564,82590
2020-08-03,165777,0,0,4588,0,80564,80459
2020-08-04,178142,0,0,3245,0,85303,89485
2020-08-05,157114,0,0,3500,0,80880,68287
2020-08-06,172258,0,0,3500,0,84987,81625
2020-08-07,192091,0,0,3500,0,97625,90947
2020-08-08,148372,0,0,3500,0,80564,64294
2020-08-09,157243,0,0,3500,0,80564,73164
2020-08-10,157168,0,0,3500,0,80564,73089
