Date,RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,RF11,RF12
2019-03-20,1082393,20511,0,1673,1715,2640,87264,1157,102635,0,0,868267
2019-03-21,1114112,20628,0,1473,1809,2196,97609,1151,102750,0,0,869354
2019-03-22,1093006,22334,0,1622,1741,2238,91859,1104,103202,0,0,872292
2019-03-23,1071800,26910,0,1745,1733,2600,72341,1116,85556,0,0,879566
2019-03-24,914259,10465,31518,2144,1701,2624,10326,850,53378,0,0,869611
2019-03-25,1104231,14031,2055,1605,1531,1950,42534,967,86457,77,0,873957
2019-03-26,1079273,20626,0,1213,2724,2186,97305,813,92805,0,0,858185
2019-03-27,1090749,20653,0,1786,3367,2524,97863,1023,92957,0,0,868841
2019-03-28,1107915,26625,247,1728,3057,2084,95046,1308,92983,0,0,870791
2019-03-29,1102958,20651,0,1535,3175,2040,89120,718,93090,0,0,876335
2019-03-30,1091319,20669,0,2032,3351,2491,82500,722,93052,0,0,877122
2019-03-31,1078654,20675,0,1987,3566,2542,74369,771,93141,0,0,876875
2019-04-01,1080931,20678,0,1181,3503,2103,90208,874,93085,0,0,867007
2019-04-02,1076703,20670,0,1382,3490,2110,92862,1328,93204,0,0,870821
2019-04-03,1112537,20640,2,2049,3560,2547,98128,742,92900,0,0,876502
2019-04-04,1096221,20600,0,1952,3607,2201,89379,491,92904,0,0,874459
2019-04-05,1073655,20580,0,1383,3519,2175,82578,586,92963,0,0,869067
2019-04-06,1005138,24205,0,2180,3371,2416,78922,733,88807,0,0,792588
2019-04-07,1043238,25838,0,1623,3496,2515,63451,740,93077,0,0,847791
2019-04-08,1083623,25802,0,1006,3195,2160,85524,563,92870,0,0,865985
2019-04-09,1056669,25813,0,2415,2647,2159,92795,1247,92794,0,0,843788
2019-04-10,1033160,21295,10,2056,3296,2512,95114,965,93046,0,0,820957
2019-04-11,1043066,15488,0,1804,3391,2190,93492,694,92946,0,0,834756
2019-04-12,1042304,15461,0,1852,2593,2279,97822,671,92764,0,0,835661
2019-04-13,1039624,15469,0,1839,3135,2596,97944,822,89987,0,0,829047
2019-04-14,1042203,18075,0,2052,2531,2636,100008,943,93285,0,0,809082
2019-04-15,1088346,15490,0,2167,3147,2247,100467,1130,102292,0,0,856683
2019-04-16,1096217,15522,0,1884,3204,2272,108557,652,103323,6,0,860519
2019-04-17,1037217,15422,0,1501,3720,2655,113531,598,98136,8,0,802088
2019-04-18,986084,15424,0,1317,3029,2289,110671,741,95031,0.1,0,745387
2019-04-19,475270,14588,0,1853,3389,2284,25285,809,1786,0.4,0,514227
2019-04-20,633112,15490,0,2002,3107,2608,15579,828,0,271,0,582853
2019-04-21,657596,15576,0,1820,2969,2600,33773,697,41314,277,0,570876
2019-04-22,1118495,35122,25640,1050,3551,2616,97364,480,103200,323,0,818834
2019-04-23,1128485,36149,155,1131,3249,1858,68387,381,103311,275,0,882900
2019-04-24,1131843,34134,20119,1445,2649,2630,82976,495,100652,241,0,878302
2019-04-25,1150114,33071,20063,1337,2837,2401,68809,602,94041,248,0,882267
2019-04-26,1069535,36022,40,1088,2796,1323,95749,657,91793,284,0,866073
2019-04-27,1103917,36081,0,1511,2625,2431,79414,627,100205,214,0,876495
2019-04-28,1116033,31913,0,940,2248,2558,83614,544,102925,208,0,877023
2019-04-29,1126345,31270,0,1222,2604,2584,90485,479,103161,207,0,887806
2019-04-30,1111972,25102,0,908,2976,2033,92080,479,113614,302,0,856914
2019-05-01,1124491,27866,86407,986,3121,2661,82489,514,100584,181,0,821138
2019-05-02,1147460,30859,76616,837,3131,2513,102973,279,102742,313,0,825082
2019-05-03,1143465,30855,69626,909,3420,1860,103001,311,102658,264,0,837867
2019-05-04,1117352,27969,90879,775,2982,2474,98252,551,102858,236,0,813796
2019-05-05,1107932,21117,84313,953,2934,2589,93320,577,100319,261,0,796408
2019-05-06,1165488,34788,80583,994,3118,2576,100355,535,105043,296,0,830474
2019-05-07,1169687,36072,77785,1124,3325,1803,85224,553,96136,277,0,851855
2019-05-08,1182135,36059,67520,1341,2634,2518,102217,608,110097,350,0,847354
2019-05-09,1202101,36161,49002,2118,2971,2351,103198,561,103375,381,0,876741
2019-05-10,1202675,33741,73325,1336,2753,1760,90892,576,103164,346,0,880287
2019-05-11,1200577,30954,68488,1562,2894,2547,92741,580,103170,263,0,881535
2019-05-12,1199187,23208,68437,1522,2781,2502,91255,416,101701,270,0,883063
2019-05-13,1209583,25769,71687,1202,3019,2454,103017,538,108524,343,0,888225
2019-05-14,1210718,25733,71182,1156,2885,1730,103051,543,108136,388,0,893330
2019-05-15,1229684,25760,75060,939,763,2466,106404,523,108114,389,0,911471
2019-05-16,1137374,25764,98650,1382,2725,2481,103107,484,108412,304,0,819218
2019-05-17,1206577,25766,42199,1205,2732,1783,100160,369,108270,322,0,877662
2019-05-18,1177491,25778,47279,1527,2998,2518,96203,384,106628,207.8,0,875393
2019-05-19,1149285,17980,41784,1611,3128,2501,87798,207,106951,271.2,0,878646
2019-05-20,1169030,22974,41805,1034,3137,2098,94398,305,116338,362,0,883658
2019-05-21,1201884,20680,88003,994,3018,2495,97955,322,118502,350,0,879086
2019-05-22,1217203,20598,102130,646,3122,2377,97931,306,116612,387,0,874861
2019-05-23,1230233,24841,99876,585,2887,2564,97830,320,113417,327,0,879255
2019-05-24,1220088,25784,92302,688,2937,1962,98054,365,111503,329,0,878619
2019-05-25,1217995,24864,92226,541,3009,2227,95830,380,113588,217,0,876075
2019-05-26,1209491,17189,94231,535,3009,2559,81044,381,115743,189,0,878244
2019-05-27,1213971,24457,92688,394,2955,2573,97647,375,113824,310,0,883440
2019-05-28,1216617,25791,92320,529,2870,1810,97975,390,113670,350,0,879199
2019-05-29,1212828,25778,92240,499,2610,2552,97991,282,113466,338,0,872253
2019-05-30,1215667,25767,83053,456,3175,2603,97996,353,113387,261,0,876850
2019-05-31,1212757,25799,92762,440,3208,2374,84713,348,109099,395,0,880723
2019-06-01,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-02,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-03,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-04,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-05,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-06,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-07,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-08,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-09,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-10,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-11,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-12,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-13,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-14,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-15,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-16,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-17,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-18,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-19,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-20,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-21,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-22,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-23,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-24,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-25,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-26,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-27,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-28,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-29,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-30,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-01,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-02,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-03,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-04,0,0,0,0,0,0,0,0,0,0,0,0
