Date,HER1
2020-06-03,3.618
2020-06-04,3.572
2020-06-05,3.743
2020-06-06,3.313
2020-06-07,2.846
2020-06-08,3.49
2020-06-09,3.824
2020-06-10,3.391
2020-06-11,3.576
2020-06-12,3.443
2020-06-13,2.755
2020-06-14,2.191
2020-06-15,3.072
2020-06-16,3.532
2020-06-17,3.69
2020-06-18,4.123
2020-06-19,4.091
2020-06-20,2.58
2020-06-21,2.295
2020-06-22,3.549
2020-06-23,3.807
2020-06-24,3.912
2020-06-25,3.832
2020-06-26,3.614
2020-06-27,2.664
2020-06-28,2.277
2020-06-29,3.447
2020-06-30,3.879
2020-07-01,3.982
2020-07-02,3.722
2020-07-03,3.723
2020-07-04,2.064
2020-07-05,1.018
2020-07-06,2.886
2020-07-07,3.644
2020-07-08,3.812
2020-07-09,3.894
2020-07-10,3.977
2020-07-11,3.324
2020-07-12,2.851
2020-07-13,4.341
2020-07-14,4.156
2020-07-15,4.345
2020-07-16,3.958
2020-07-17,3.244
2020-07-18,2.657
2020-07-19,1.875
2020-07-20,2.962
2020-07-21,3.982
2020-07-22,3.125
2020-07-23,3.436
2020-07-24,3.734
2020-07-25,3.545
2020-07-26,2.589
2020-07-27,3.309
2020-07-28,3.321
2020-07-29,3.987
2020-07-30,3.78
2020-07-31,2.602
2020-08-01,1.562
2020-08-02,1.509
2020-08-03,2.329
2020-08-04,2.724
2020-08-05,2.537
2020-08-06,2.007
2020-08-07,2.924
2020-08-08,1.822
2020-08-09,1.361
2020-08-10,1.993
2020-08-11,2.088
2020-08-12,2.571
2020-08-13,2.722
2020-08-14,2.198
2020-08-15,2.091
2020-08-16,2.331
2020-08-17,2.659
2020-08-18,2.975
2020-08-19,2.654
2020-08-20,2.886
2020-08-21,2.723
2020-08-22,2.135
2020-08-23,2.173
2020-08-24,2.365
2020-08-25,2.601
2020-08-26,2.639
2020-08-27,3.114
2020-08-28,3.153
2020-08-29,3.335
2020-08-30,2.452
2020-08-31,3.066
2020-09-01,3.211
2020-09-02,3.194
2020-09-03,3.627
2020-09-04,3.403
2020-09-05,4.972
2020-09-06,5.561
2020-09-07,5.469
2020-09-08,5.405
2020-09-09,5.617
2020-09-10,4.123
2020-09-11,4.052
2020-09-12,5.34
2020-09-13,5.241
2020-09-14,5.191
2020-09-15,5.6
2020-09-16,5.66
2020-09-17,3.922
2020-09-18,4.614
2020-09-19,5.695
2020-09-20,6.513
2020-09-21,6.138
2020-09-22,5.712
2020-09-23,6.254
2020-09-24,5.834
2020-09-25,16.828
2020-09-26,6.083
2020-09-27,6.852
2020-09-28,6.944
2020-09-29,6.591
2020-09-30,6.117
2020-10-01,4.293
2020-10-02,3.596
2020-10-03,5.403
2020-10-04,5.516
2020-10-05,5.5
2020-10-06,5.561
2020-10-07,5.469
2020-10-08,5.405
2020-10-09,5.617
2020-10-10,4.123
2020-10-11,4.052
2020-10-12,5.34
2020-10-13,5.241
2020-10-14,5.191
2020-10-15,5.6
2020-10-16,5.66
2020-10-17,3.922
2020-10-18,4.614
2020-10-19,5.695
2020-10-20,6.513
2020-10-21,6.138
2020-10-22,5.712
2020-10-23,6.254
2020-10-24,5.834
2020-10-25,4.497
2020-10-26,6.083
2020-10-27,6.852
2020-10-28,6.944
2020-10-29,6.591
2020-10-30,6.117
2020-10-31,4.293
2020-11-01,3.596
2020-11-02,5.403
2020-11-03,5.245
2020-11-04,5.229
2020-11-05,5.195
