Date,NER1,NER2,NER3,NER4,NER5
2020-03-05,334396,135048,45001,53705,99999
2020-03-06,327383,135048,38000,53705,100000
2020-03-07,,,,,
2020-03-08,,,,,
2020-03-09,317099,0,0,53705,0
2020-03-10,317099,0,0,53705,0
2020-03-11,297772,0,0,53705,0
2020-03-12,287646,0,0,53705,0
2020-03-13,289173,135048,0,53705,99865
2020-03-14,210738,101991,0,43174,65166
2020-03-15,,,,,
2020-03-16,226564,117898,0,43174,65055
2020-03-17,301609,140323,0,53705,107000
2020-03-18,292315,135048,0,53705,102999
2020-03-19,294251,135048,0,53705,104932
2020-03-20,328455,135048,34071,53705,105000
2020-03-21,303549,135048,9970,42121,115826
2020-03-22,261347,145046,0,42121,73675
2020-03-23,287723,145048,0,42121,100000
2020-03-24,299055,135048,0,53705,109726
2020-03-25,329455,135048,30001,53705,110068
2020-03-26,331391,135048,32000,46333,110001
2020-03-27,291944,135048,0,46333,110000
2020-03-28,,,,,
2020-03-29,296994,135048,0,40015,121359
2020-03-30,268244,135045,0,40015,92666
2020-03-31,283255,135048,0,37593,110069
2020-04-01,337311,135048,34000,48446,119218
2020-04-02,317481,135048,15000,48446,118423
2020-04-03,310826,141800,0,48446,120027
2020-04-04,300780,141800,0,48446,109998
2020-04-05,147971,116057,0,31652,0
2020-04-06,292339,141800,0,40021,109998
2020-04-07,299193,141800,0,36862,119999
2020-04-08,279916,141800,0,31596,106023
2020-04-09,268667,141800,0,31596,94794
2020-04-10,237869,141800,0,36862,58785
2020-04-11,,,,,
2020-04-12,126874,49786,0,36862,40000
2020-04-13,232380,141800,0,36862,53305
2020-04-14,293394,141800,0,41075,109998
2020-04-15,298405,141800,0,41075,115000
2020-04-16,242531,105506,0,31596,104999
2020-04-17,268873,141800,0,31596,95000
2020-04-18,272038,141800,0,34755,95000
2020-04-19,272038,141800,0,34755,95000
2020-04-20,272038,141800,0,34755,95000
2020-04-21,284511,141800,0,37388,104818
2020-04-22,288541,141800,0,37388,108840
2020-04-23,287699,141800,0,37388,107999
2020-04-24,285854,141800,0,37388,106157
2020-04-25,,,,,
2020-04-26,273985,141800,0,31596,100103
2020-04-27,273985,141800,0,31596,100103
2020-04-28,281089,141800,0,28584,110206
2020-04-29,280881,141800,0,28584,109998
2020-04-30,280881,141800,0,28584,109998
2020-05-01,280674,141800,0,28442,110001
2020-05-02,,,,,
2020-05-03,228188,141799,0,28442,57596
2020-05-04,275666,141800,0,28442,105000
2020-05-05,287005,141800,0,0,110001
2020-05-06,287005,141800,0,0,110001
2020-05-07,284000,141800,0,0,107000
2020-05-08,,,,,
2020-05-09,,,,,
2020-05-10,189308,114787,0,24229,50000
2020-05-11,273449,141800,0,24229,107000
2020-05-12,281463,141800,0,24229,115000
2020-05-13,287005,141800,0,34763,110001
2020-05-14,285002,141800,0,34763,108001
2020-05-15,281996,141800,0,34763,105000
2020-05-16,287264,141800,14999,30023,100001
2020-05-17,272242,141800,0,30023,100001
2020-05-18,272242,141800,0,30023,100001
2020-05-19,289376,141800,0,32130,115000
2020-05-20,329436,141800,34998,32130,120001
2020-05-21,359480,141800,64999,32130,119998
2020-05-22,294384,141800,0,32130,120001
2020-05-23,259220,114500,0,32130,112225
2020-05-24,224057,87133,0,32130,104449
2020-05-25,289376,141800,0,32130,115000
2020-05-26,289376,141800,0,32130,115000
2020-05-27,294383,141800,0,32130,120000
2020-05-28,366340,141800,59999,38977,125000
2020-05-29,364756,141800,60000,37397,124999
2020-05-30,304664,141800,24236,37397,100764
2020-05-31,364756,141800,60000,37397,124999
2020-06-01,308572,141800,10001,36350,120000
2020-06-02,298560,141800,0,36350,120001
2020-06-03,368655,141800,70000,36350,120000
2020-06-04,368655,141800,70001,36350,119999
2020-06-05,368655,141800,70001,36350,119999
2020-06-06,333865,141800,40000,31609,119999
2020-06-07,305827,141800,12000,31609,119999
2020-06-08,333865,141800,40000,31609,119999
2020-06-09,368655,141800,70000,24234,120000
2020-06-10,353634,141800,29832,36350,145169
2020-06-11,370656,141800,70000,36350,122000
2020-06-12,36400,0,0,36350,0
2020-06-13,336870,141800,35000,31609,128001
2020-06-14,306829,141800,0,31609,133001
2020-06-15,336870,141800,70000,31609,93000
2020-06-16,318586,141800,20000,36350,120000
2020-06-17,368653,141800,70000,36350,119998
2020-06-18,368654,141800,70000,36350,119999
2020-06-19,368655,141800,70000,36350,120000
2020-06-20,364756,141800,60000,37397,124999
2020-06-21,308390,141800,16666,29502,120000
2020-06-22,318404,141800,53334,29502,93334
2020-06-23,370237,141800,69999,37930,120001
2020-06-24,369962,141800,69724,37930,120001
2020-06-25,338745,141800,38551,37930,120000
2020-06-26,370237,141800,70000,37930,120000
2020-06-27,336111,141800,35000,36350,123000
2020-06-28,301985,141800,0,34770,125001
2020-06-29,301985,141800,0,34770,125001
2020-06-30,366018,141800,70000,33715,120003
2020-07-01,326027,141800,70000,36889,76999
2020-07-02,325607,141800,70000,39471,73998
2020-07-03,250842,141800,0,34781,74000
2020-07-04,259351,141800,8500,34781,74000
2020-07-05,267860,141800,17000,34781,74000
2020-07-06,253479,141800,0,37416,74000
2020-07-07,324079,141800,69999,37943,74000
2020-07-08,324079,141800,70000,37943,74000
2020-07-09,324025,141800,75000,36889,70000
2020-07-10,324025,141800,70000,36889,75000
2020-07-11,301501.5,141800,50000,36889,70000
2020-07-12,278978,141800,30000,36889,70000
2020-07-13,278978,141800,30000,36889,70000
2020-07-14,328720,0,75000,41579,70000
2020-07-15,325608,0,0,39471,70000
2020-07-16,321876,0,0,44741,70001
2020-07-17,321876,0,0,44741,70001
2020-07-18,305220.5,0,0,42106,69995
2020-07-19,288565,0,0,39471,69995
2020-07-20,288565,0,0,39471,69995
2020-07-21,324771,0,0,42633,70001
2020-07-22,358481,0,0,36309,80000
2020-07-23,330452,0,0,36309,80000
2020-07-24,340463,0,0,36309,90000
2020-07-25,313962.5,0,0,36836,99000
2020-07-26,287462,0,0,37363,108000
2020-07-27,352529,0,0,37363,108001
2020-07-28,352258,0,0,32093,110001
2020-07-29,290099,0,0,39998,107999
2020-07-30,297106,0,0,39998,114998
2020-07-31,332142,0,0,39998,119999
2020-08-01,298985.5,141800,10000,38436,107999
2020-08-02,265829,141800,20000,36874,66976
2020-08-03,326527,141800,30000,36874,117630
2020-08-04,368143,141800,70001,38427,117629
2020-08-05,325480,141800,75000,38427,69999
2020-08-06,318366,141800,70000,36318,70000
2020-08-07,323371,141800,75001,36318,69999
2020-08-08,299554,141800,47501,36582,73437.5
2020-08-09,275737,141800,20001,36846,76876
2020-08-10,288871,141800,40002,36846,69999
2020-08-11,364186,141800,75000,32101,115000
2020-08-12,372191,141800,78000,32101,119999
2020-08-13,335489,141800,40000,38427,115000
2020-08-14,378522,141800,78000,38427,119999
2020-08-15,350864.5,141800,54000.5,35791,118999
2020-08-16,323207,141800,30001,33155,117999
2020-08-17,333214,141800,40000,33155,117999
2020-08-18,376939,141800,78000,36846,119999
2020-08-19,374937,141800,78000,36846,118000
2020-08-20,374938,141800,78000,36846,118000
2020-08-21,374938,141800,78000,36846,118000
2020-08-22,374938,141800,78000,36846,118000
2020-08-23,352176,141800,50000,32101,128000
2020-08-24,352176,141800,60000,32101,118000
2020-08-25,372191,141800,78000,32101,120000
2020-08-26,383526,141800,78000,38427,125000
2020-08-27,374194,141800,75000,32101,124999
2020-08-28,378779,141800,78000,33683,125000
2020-08-29,363976.5,141800,61499.5,32892,127500.5
2020-08-30,349174,141800,44999,32101,130001
2020-08-31,379198,141800,75000,32101,130001
2020-09-01,386478,141800,74999,39493,130000
2020-09-02,389897,141800,80000,37911,129999
2020-09-03,414911,141800,105001,37911,130000
2020-09-04,386732,141800,80000,34747,129999
2020-09-05,338974,141800,40000,35011,122000
