Date,RMS,DMS FB,DMS IB
2020-02-05,182458.91,179999.95,0.00
2020-02-06,116151.56,115000.40,0.00
2020-02-07,171702.58,170000.87,0.00
2020-02-08,182549.65,180740.43,0.00
2020-02-09,174566.01,172835.92,0.00
2020-02-10,173277.78,171560.46,0.00
2020-02-11,,,0.00
2020-02-12,151501.34,149999.84,0.00
2020-02-13,176752.09,175000.34,0.00
2020-02-14,166271.13,164623.25,0.00
2020-02-15,169197.86,167000.45,0.00
2020-02-16,178854.83,176466.95,0.00
2020-02-17,169197.86,167000.45,0.00
2020-02-18,169197.86,167000.45,0.00
2020-02-19,177424.17,175064.51,0.00
2020-02-20,177357.70,174999.35,0.00
2020-02-21,176297.36,173999.57,0.00
2020-02-22,151239.69,149346.92,0.00
2020-02-23,169340.30,167090.52,0.00
2020-02-24,150439.95,148562.96,0.00
2020-02-25,169228.46,167000.71,0.00
2020-02-26,199982.40,197439.86,0.00
2020-02-27,177308.11,175000.29,0.00
2020-02-28,166137.13,164000.09,0.00
2020-02-29,166137.13,164000.09,0.00
2020-03-01,171186.65,168999.57,0.00
2020-03-02,171186.65,168999.57,0.00
2020-03-03,172207.95,170000.72,0.00
2020-03-04,170166.41,167999.45,0.00
2020-03-05,164046.00,161999.76,0.00
2020-03-06,190686.27,188376.01,0.00
2020-03-07,,,
2020-03-08,,,
2020-03-09,152023.45,150164.77,0.00
2020-03-10,199477.03,196999.56,0.00
2020-03-11,172207.95,170000.72,0.00
2020-03-12,233263.22,230350.79,0.00
2020-03-13,228163.06,225351.23,0.00
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,154658.73,152999.94,126.00
2020-03-18,221251.48,218350.21,208.00
2020-03-19,216174.55,213350.65,231.00
2020-03-20,241574.07,238351.40,348.00
2020-03-21,214662.51,211711.33,320.00
2020-03-22,214662.51,211934.54,99.00
2020-03-23,214662.51,211675.85,342.00
2020-03-24,175288.72,172604.91,396.00
2020-03-25,149481.96,147600.51,396.00
2020-03-26,182544.37,180335.25,396.00
2020-03-27,119180.63,117599.49,396.00
2020-03-28,136519.49,134777.38,385.24
2020-03-29,136519.49,134.42,297.64
2020-03-30,136519.49,134521.26,395.79
2020-03-31,228694.81,225531.97,395.79
2020-04-01,170186.45,167999.28,0.00
2020-04-02,185306.52,182573.32,430.46
2020-04-03,170622.19,168000.23,430.46
2020-04-04,168922.49,166334.05,430.46
2020-04-05,168922.49,166334.05,430.46
2020-04-06,168922.49,166334.05,430.46
2020-04-07,175722.35,172999.79,430.46
2020-04-08,162541.49,159999.61,430.46
2020-04-09,167642.70,165000.22,430.46
2020-04-10,152442.45,150000.66,430.46
2020-04-11,152442.45,150000.66,430.46
2020-04-12,152442.45,150000.66,430.46
2020-04-13,152442.45,150000.66,430.46
2020-04-14,212364.59,209278.87,430.46
2020-04-15,215461.19,212344.78,430.46
2020-04-16,210366.30,207350.44,430.46
2020-04-17,175601.02,172999.78,430.46
2020-04-18,167098.29,164594.67,430.46
2020-04-19,167098.29,164594.67,430.46
2020-04-20,170263.47,164594.67,3595.64
2020-04-21,184780.04,179928.55,2540.58
2020-04-22,205272.08,200326.52,2430.46
2020-04-23,215271.28,210539.80,2013.05
2020-04-24,184425.54,179999.77,2013.05
2020-04-25,183864.25,181000.93,430.46
2020-04-26,183864.25,181000.93,430.46
2020-04-27,185552.35,181000.93,2118.56
2020-04-28,225274.30,218692.24,3701.15
2020-04-29,179858.19,175999.98,1485.52
2020-04-30,209427.30,205326.09,1485.52
2020-05-01,224607.50,220351.03,1540.39
2020-05-02,173269.34,169521.67,1540.39
2020-05-03,201080.72,197077.44,1540.39
2020-05-04,201080.72,197007.37,1540.39
2020-05-05,198321.74,194325.78,1540.39
2020-05-06,213472.40,209326.29,1540.39
2020-05-07,228622.01,224325.75,1540.39
2020-05-08,228622.01,224325.75,1540.39
2020-05-09,228096.59,223798.87,1540.39
2020-05-10,228096.59,223798.87,1540.39
2020-05-11,228096.59,223798.87,1540.39
2020-05-12,255979.71,251725.70,1223.87
2020-05-13,284967.49,280426.19,1223.87
2020-05-14,265783.33,261325.52,1382.13
2020-05-15,264886.53,261325.52,485.33
2020-05-16,139036.30,176332.81,485.33
2020-05-17,179036.30,176332.81,485.33
2020-05-18,179036.30,176332.81,485.33
2020-05-19,141891.85,140000.27,485.33
2020-05-20,170786.78,167000.58,1856.91
2020-05-21,208946.19,204999.46,1434.88
2020-05-22,153394.12,150000.12,1382.13
2020-05-23,121201.22,118126.27,1382.13
2020-05-24,133193.94,130000.14,1382.13
2020-05-25,159559.89,156104.78,1382.13
2020-05-26,159559.89,156104.78,1382.13
2020-05-27,227306.35,222999.64,1382.13
2020-05-28,204096.08,199999.39,1382.13
2020-05-29,206929.56,202867.66,1382.13
2020-05-30,222258.94,218002.24,1382.13
2020-05-31,253006.05,248444.52,1382.13
2020-06-01,253006.05,248444.52,1382.13
2020-06-02,283752.06,278886.80,1361.03
2020-06-03,276631.46,271885.96,1382.13
2020-06-04,278723.64,273887.33,1382.13
2020-06-05,271632.58,266886.57,1382.13
2020-06-06,257424.09,249947.97,4642.76
2020-06-07,243215.60,233009.37,7343.22
2020-06-08,243215.60,232949.31,7343.22
2020-06-09,246677.25,236645.63,7132.21
2020-06-10,268606.67,258177.54,7132.21
2020-06-11,297338.06,286624.18,7132.21
2020-06-12,298180.00,287686.71,6921.19
2020-06-13,6926.05,0.00,6921.19
2020-06-14,213364.78,203770.96,6921.19
2020-06-15,213364.78,203770.96,6921.19
2020-06-16,255606.22,245534.87,6921.19
2020-06-17,300970.64,290534.13,6815.69
2020-06-18,255626.27,245534.70,6921.19
2020-06-19,219735.24,209999.38,6921.19
2020-06-20,219735.24,209999.38,6921.19
2020-06-21,248369.56,238319.89,6921.19
2020-06-22,248369.56,238319.89,6921.19
2020-06-23,163175.58,154000.27,6921.19
2020-06-24,199535.06,189999.40,6921.19
2020-06-25,247941.21,238000.24,6815.69
2020-06-26,214886.18,205000.00,7071.01
2020-06-27,248369.56,238349.92,6921.19
2020-06-28,247041.24,237667.70,6332.47
2020-06-29,247041.24,237667.70,6332.47
2020-06-30,256948.26,253062.98,740.65
2020-07-01,238857.14,235156.56,635.15
2020-07-02,234395.30,231011.75,379.82
2020-07-03,173793.70,170940.70,379.82
2020-07-04,155928.37,153252.43,379.82
2020-07-05,155928.37,153252.43,379.82
2020-07-06,152642.92,149999.53,379.82
2020-07-07,247999.24,244440.83,379.82
2020-07-08,213192.81,209999.38,379.82
2020-07-09,221252.41,217999.12,379.82
2020-07-10,147557.76,145014.82,379.82
2020-07-11,145162.54,142663.36,379.82
2020-07-12,145162.54,142693.39,379.82
2020-07-13,147557.76,145014.82,379.82
2020-07-14,160473.57,157566.72,638.31
2020-07-15,218545.13,215047.95,633.04
2020-07-16,279530.76,270048.50,6017.01
2020-07-17,277406.43,268229.09,5809.16
2020-07-18,167442.24,159374.76,5809.16
2020-07-19,167442.24,159394.78,5809.16
2020-07-20,167442.24,159374.76,5809.16
2020-07-21,259277.83,250049.48,6062.37
2020-07-22,263997.11,260049.47,681.57
2020-07-23,274096.15,270048.41,681.57
2020-07-24,289266.86,285048.75,681.57
2020-07-25,274096.00,270048.41,681.57
2020-07-26,274096.15,270048.41,681.57
2020-07-27,279371.45,270048.41,5956.87
2020-07-28,212595.65,207080.70,2791.69
2020-07-29,207382.59,200048.31,4648.59
2020-07-30,210836.87,202048.57,6062.37
2020-07-31,218927.06,210048.57,6062.37
2020-08-01,202102.02,195441.46,3945.92
2020-08-02,203790.11,195051.09,6075.04
2020-08-03,203790.11,195101.14,6075.04
2020-08-04,252074.94,245051.04,3859.41
2020-08-05,294158.11,287050.54,3542.89
2020-08-06,300238.42,293050.57,3542.89
2020-08-07,310745.77,303514.27,3532.34
2020-08-08,258229.10,251696.73,3321.33
2020-08-09,258229.10,251696.97,3321.33
2020-08-10,258229.10,251696.97,3321.33
2020-08-11,225527.52,220050.22,3321.33
2020-08-12,300995.96,294049.99,3321.33
2020-08-13,308065.92,301049.88,3321.33
2020-08-14,309769.84,303050.29,3004.81
2020-08-15,244098.67,238029.99,3004.81
