Date,VD1
2020-10-27,0
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,0
2020-11-01,0
2020-11-02,0
2020-11-03,0
2020-11-04,0
2020-11-05,0
2020-11-06,0
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,0
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0.001
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,0
2020-12-09,0
2020-12-10,0
2020-12-11,0
2020-12-12,0
2020-12-13,0
2020-12-14,2.344
2020-12-15,23.495
2020-12-16,26.092
2020-12-17,15.532
2020-12-18,0.293
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,0
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,0
2020-12-30,0
2020-12-31,0
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,0
2021-01-07,0
2021-01-08,0
2021-01-09,0
2021-01-10,0
2021-01-11,0
2021-01-12,0
2021-01-13,0
2021-01-14,0.014
2021-01-15,0.013
2021-01-16,0.013
2021-01-17,0.012
2021-01-18,0.013
2021-01-19,0
2021-01-20,0
2021-01-21,0
2021-01-22,0
2021-01-23,0
2021-01-24,0
2021-01-25,0
2021-01-26,0
2021-01-27,0
2021-01-28,0
2021-01-29,0
2021-01-30,0
2021-01-31,0
2021-02-01,0
2021-02-02,0
2021-02-03,0
2021-02-04,0
2021-02-05,0
2021-02-06,0
2021-02-07,0
2021-02-08,0
2021-02-09,0
2021-02-10,0
2021-02-11,0
2021-02-12,0
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,0
2021-02-17,0
2021-02-18,0
2021-02-19,0
2021-02-20,0
2021-02-21,0
2021-02-22,0
2021-02-23,0
2021-02-24,0
2021-02-25,0
2021-02-26,0
2021-02-27,0
2021-02-28,0
2021-03-01,0.001
2021-03-02,0
2021-03-03,0
2021-03-04,0
2021-03-05,0
2021-03-06,0
2021-03-07,0
2021-03-08,0
2021-03-09,0
2021-03-10,0
2021-03-11,0
2021-03-12,0
2021-03-13,0
2021-03-14,0
2021-03-15,0
2021-03-16,0
2021-03-17,0
2021-03-18,0
2021-03-19,0
2021-03-20,0
2021-03-21,0
2021-03-22,0
2021-03-23,0
2021-03-24,0
2021-03-25,0
2021-03-26,0
2021-03-27,0
2021-03-28,3.03
2021-03-29,0
2021-03-30,2.352
2021-03-31,32.437
2021-04-01,43.47
2021-04-02,37.38
2021-04-03,34.49
2021-04-04,35.95
2021-04-05,36.05
2021-04-06,6.72
2021-04-07,0.48
2021-04-08,21.58
2021-04-09,0
2021-04-10,0
2021-04-11,0
2021-04-12,12.34
2021-04-13,20.76
2021-04-14,48.91
2021-04-15,48.05
2021-04-16,45.47
2021-04-17,24.83
2021-04-18,0
2021-04-19,0
2021-04-20,0
2021-04-21,0
2021-04-22,0
2021-04-23,0
2021-04-24,0
2021-04-25,0.37
2021-04-26,29.76
2021-04-27,38.85
2021-04-28,65.15
2021-04-29,92.3
2021-04-30,62.4
2021-05-01,0
2021-05-02,14.17
2021-05-03,48.12
2021-05-04,90.85
2021-05-05,74.78
2021-05-06,25.65
2021-05-07,0
2021-05-08,0
2021-05-09,0
2021-05-10,8.4
2021-05-11,39.93
2021-05-12,62.27
2021-05-13,71.02
2021-05-14,0
2021-05-15,0
2021-05-16,
2021-05-17,
2021-05-18,
2021-05-19,
2021-05-20,
2021-05-21,
2021-05-22,
2021-05-23,
2021-05-24,
2021-05-25,
2021-05-26,
2021-05-27,
2021-05-28,
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,96
2021-06-02,89.4
2021-06-03,85.7
2021-06-04,86.9
2021-06-05,97
2021-06-06,95.1
2021-06-07,107.4
2021-06-08,79.1
2021-06-09,53.7
2021-06-10,51.7
2021-06-11,89.9
2021-06-12,97.5
2021-06-13,98.6
2021-06-14,98
2021-06-15,88.7
2021-06-16,88.3
2021-06-17,103.6
2021-06-18,79.7
2021-06-19,50.6
2021-06-20,49.1
2021-06-21,63
2021-06-22,82.2
2021-06-23,97.9
2021-06-24,67.8
2021-06-25,38.7
2021-06-26,48.3
2021-06-27,48.1
2021-06-28,49.1
2021-06-29,49.8
2021-06-30,49.7
2021-07-01,48.6
2021-07-02,35.6
2021-07-03,15.5
2021-07-04,50.4
2021-07-05,54.6
2021-07-06,57
2021-07-07,90.7
2021-07-08,71.9
2021-07-09,32.7
2021-07-10,30.5
2021-07-11,0
2021-07-12,0
2021-07-13,0
2021-07-14,0
2021-07-15,0
2021-07-16,3.1
2021-07-17,46.7
2021-07-18,33.7
2021-07-19,53.1
2021-07-20,98
2021-07-21,97.7
2021-07-22,80.5
2021-07-23,29.6
2021-07-24,54.9
2021-07-25,48.9
2021-07-26,55.6
2021-07-27,40.1
2021-07-28,45.1
2021-07-29,26.9
2021-07-30,1.4
2021-07-31,33.8
2021-08-01,50.3
2021-08-02,52.3
2021-08-03,51.1
2021-08-04,52.8
2021-08-05,48.8
2021-08-06,48.8
2021-08-07,48.8
2021-08-08,49.4
2021-08-09,49
2021-08-10,49.1
2021-08-11,49.1
2021-08-12,49.1
2021-08-13,49
2021-08-14,33.7
2021-08-15,3.3
