Date,TLA1,TLA2,TLA3,TLA4
2020-03-19,16551,0,0,0
2020-03-20,16551,0,0,0
2020-03-21,16551,0,0,0
2020-03-22,16551,0,0,0
2020-03-23,16551,0,0,0
2020-03-24,16551,0,0,0
2020-03-25,16551,0,0,0
2020-03-26,16551,0,0,0
2020-03-27,16551,0,0,0
2020-03-28,16551,0,0,0
2020-03-29,16551,0,0,0
2020-03-30,16551,0,0,0
2020-03-31,16551,0,0,0
2020-04-01,6000,0,0,0
2020-04-02,6000,0,0,0
2020-04-03,6000,0,0,0
2020-04-04,6000,0,0,0
2020-04-05,6000,0,0,0
2020-04-06,6000,0,0,0
2020-04-07,6000,0,0,0
2020-04-08,6000,0,0,0
2020-04-09,6000,0,0,0
2020-04-10,6000,0,0,0
2020-04-11,6000,0,0,0
2020-04-12,6000,0,0,0
2020-04-13,6000,0,0,0
2020-04-14,6000,0,0,0
2020-04-15,6000,0,0,0
2020-04-16,6000,0,0,0
2020-04-17,6000,0,0,0
2020-04-18,6000,0,0,0
2020-04-19,6000,0,0,0
2020-04-20,6000,0,0,0
2020-04-21,6000,0,0,0
2020-04-22,6000,0,0,0
2020-04-23,19922,0,0,0
2020-04-24,6000,0,0,0
2020-04-25,6000,0,0,0
2020-04-26,6000,0,0,0
2020-04-27,6000,0,0,0
2020-04-28,6000,0,0,0
2020-04-29,6000,0,0,0
2020-04-30,6000,0,0,0
2020-05-01,6000,0,0,0
2020-05-02,7180,0,0,0
2020-05-03,6000,0,0,0
2020-05-04,6000,0,0,0
2020-05-05,6000,0,0,0
2020-05-06,6000,0,0,0
2020-05-07,6000,0,0,0
2020-05-08,6000,0,0,0
2020-05-09,6000,0,0,0
2020-05-10,6000,0,0,0
2020-05-11,6000,0,0,0
2020-05-12,6000,0,0,0
2020-05-13,6000,0,0,0
2020-05-14,6000,0,0,0
2020-05-15,6000,0,0,0
2020-05-16,6000,0,0,0
2020-05-17,6000,0,0,0
2020-05-18,6000,0,0,0
2020-05-19,6000,0,0,0
2020-05-20,6000,0,0,0
2020-05-21,6000,0,0,0
2020-05-22,6000,0,0,0
2020-05-23,6000,0,0,0
2020-05-24,6000,0,0,0
2020-05-25,6000,0,0,0
2020-05-26,6000,0,0,0
2020-05-27,6000,0,0,0
2020-05-28,6000,0,0,0
2020-05-29,6000,0,0,0
2020-05-30,6000,0,0,0
2020-05-31,6000,0,0,0
2020-06-01,6000,0,0,0
2020-06-02,6000,0,0,0
2020-06-03,6000,0,0,0
2020-06-04,6000,0,0,0
2020-06-05,6000,0,0,0
2020-06-06,6000,0,0,0
2020-06-07,6000,0,0,0
2020-06-08,6000,0,0,0
2020-06-09,6000,0,0,0
2020-06-10,6000,0,0,0
2020-06-11,6000,0,0,0
2020-06-12,6000,0,0,0
2020-06-13,6000,0,0,0
2020-06-14,6000,0,0,0
2020-06-15,6000,0,0,0
2020-06-16,6000,0,0,0
2020-06-17,6000,0,0,0
2020-06-18,6000,0,0,0
2020-06-19,148000,0,0,0
2020-06-20,246,0,0,0
2020-06-21,246,0,0,0
2020-06-22,246,0,0,0
2020-06-23,6000,0,0,0
2020-06-24,6000,0,0,0
2020-06-25,6000,0,0,0
2020-06-26,6000,0,0,0
2020-06-27,6000,0,0,0
2020-06-28,6000,0,0,0
2020-06-29,6000,0,0,0
2020-06-30,6000,0,0,0
2020-07-01,9000,0,0,0
2020-07-02,9000,0,0,0
2020-07-03,9000,0,0,0
2020-07-04,9000,0,0,0
2020-07-05,9000,0,0,0
2020-07-06,9000,0,0,0
2020-07-07,9000,0,0,0
2020-07-08,9000,0,0,0
2020-07-09,9000,0,0,0
2020-07-10,9000,0,0,0
2020-07-11,9000,0,0,0
2020-07-12,9000,0,0,0
2020-07-13,9000,0,0,0
2020-07-14,9000,0,0,0
2020-07-15,9000,0,0,0
2020-07-16,9000,0,0,0
2020-07-17,9000,0,0,0
2020-07-18,9000,0,0,0
2020-07-19,9000,0,0,0
2020-07-20,9000,0,0,0
2020-07-21,9000,0,0,0
2020-07-22,9000,0,0,0
2020-07-23,9000,0,0,0
2020-07-24,9000,0,0,0
2020-07-25,9000,0,0,0
2020-07-26,9000,0,0,0
2020-07-27,9000,0,0,0
2020-07-28,8999.36,0,0,0
2020-07-29,9000,0,0,0
2020-07-30,9000,0,0,0
2020-07-31,9000,0,0,0
2020-08-01,9000,0,0,0
2020-08-02,9000,0,0,0
2020-08-03,8999.44,0,0,0
2020-08-04,9000,0,0,0
2020-08-05,9000,0,0,0
2020-08-06,9000,0,0,0
2020-08-07,9000,0,0,0
2020-08-08,9000,0,0,0
2020-08-09,9000,0,0,0
2020-08-10,9000,0,0,0
2020-08-11,9000,0,0,0
2020-08-12,9000,0,0,0
2020-08-13,9000,0,0,0
2020-08-14,9000,0,0,0
2020-08-15,9000,0,0,0
2020-08-16,8998.83,0,0,0
2020-08-17,9000,0,0,0
2020-08-18,8999.42,0,0,0
2020-08-19,9000,0,0,0
2020-08-20,9000,0,0,0
2020-08-21,0,0,0,0
2020-08-22,0,0,0,0
2020-08-23,0,0,0,0
2020-08-24,0,0,0,0
2020-08-25,0,0,0,0
