Date,FPO1001,FPO1002,FPO2001,FPO2004,FPO2007,FPO2008
2021-01-01,,,172141.3634,285976.7878,,44145.93658
2021-01-02,,,177694.313,282645.0244,,45256.52438
2021-01-03,,,194630.8008,257934.4008,,44145.93658
2021-01-04,,,207680.2366,263765,,43868.28699
2021-01-05,,,192964.9244,291252.0878,,108560.1244
2021-01-06,,,196851.987,245717.9244,,58305.94959
2021-01-07,,,184635.5,238499.0878,,58028.3
2021-01-08,,,196851.987,292085.0366,,56362.41301
2021-01-09,,,174362.5496,226560.2504,,62470.66178
2021-01-10,,,165477.8366,245717.9244,,60527.12521
2021-01-11,,,186023.7374,288753.2626,,62193.01219
2021-01-12,,,184913.1496,268485.0008,,0
2021-01-13,,,191021.3878,265986.1756,,0
2021-01-14,,,191299.0374,256823.813,,0
2021-01-15,,,176306.0756,263209.7008,,57473.00082
2021-01-16,,,186301.387,260988.5252,,57195.36178
2021-01-17,,,167699.0122,225449.6626,,57195.36178
2021-01-18,,,178527.2618,281256.787,,4164.712192
2021-01-19,,,188522.5626,263765,,57473.00082
2021-01-20,,,194630.8008,285699.1382,,57750.65041
2021-01-21,,,228781.4366,292917.9748,,56084.76342
2021-01-22,,,294028.5626,293473.2634,,56640.0626
2021-01-23,,,277925.013,295694.4496,,29985.91301
2021-01-24,,,152150.7618,257934.4008,,57195.36178
2021-01-25,,,243496.7382,291529.7374,,58028.3
2021-01-26,,,244052.0374,284588.5504,,58028.3
2021-01-27,,,272094.4244,281534.4366,,56640.0626
2021-01-28,,,258073.2256,283061.4882,,57334.18658
2021-01-29,,,265083.825,282297.9624,,56987.12459
2021-01-30,,,261578.5253,282679.7253,,57160.65031
2021-01-31,,,263331.1804,282488.8439,,57073.88217
2021-02-01,,,142203.7405,151050.5136,,0
2021-02-02,,,195939.7188,284407.481,,56029.58379
2021-02-03,,,281458.5567,286701.0865,,56029.58379
2021-02-04,,,241811.8918,296858.4973,,57667.88095
2021-02-05,,,247054.4216,298496.7945,,56684.90265
2021-02-06,,,218548.1459,288994.692,,46199.83243
2021-02-07,,,196595.0271,261799.0539,,46199.83243
2021-02-08,,,292271.2758,296530.8379,,44561.54581
2021-02-09,,,315207.3623,298169.135,,56684.90265
2021-02-10,,,274250.0702,284735.1404,,57667.88095
2021-02-11,,,138599.4973,292598.9352,,56357.24322
2021-02-12,,,16710.57836,252296.962,,55374.26492
2021-02-13,,,15072.28119,201182.2486,,47182.81073
2021-02-14,,,6225.508137,134339.9352,,48493.43791
2021-02-15,,,0,18348.86498,,48493.43791
2021-02-16,,,0,118612.3351,,48493.43791
2021-02-17,,,0,173003.6323,,0
2021-02-18,,,0,163501.5298,,0
2021-02-19,,,0,103212.3945,,0
2021-02-20,,,0,142203.7405,,0
2021-02-21,,,0,142203.7405,,0
2021-02-22,,,0,189058.8918,,0
2021-02-23,,,15072.28119,247382.0811,,49148.75678
2021-02-24,,,16710.57836,260160.7568,,49148.75678
2021-02-25,,,15891.42978,253771.4189,,49148.75678
2021-02-26,,,16301.00407,256966.0879,,49148.75678
2021-02-27,,,16096.21692,255368.7587,,49148.75678
