Date,KMS1,KMS2
2020-04-12,5095722.15,475057.34
2020-04-13,4570296.59,604132.35
2020-04-14,4622001.82,612138.59
2020-04-15,4803283.93,295038.82
2020-04-16,4656979.25,289387.39
2020-04-17,5439951.47,283207.89
2020-04-18,5156412.66,216171.11
2020-04-19,5455319.36,221700.18
2020-04-20,5571000.05,355796.06
2020-04-21,5299568.62,329566.9
2020-04-22,5485234.02,340136.66
2020-04-23,5989188.46,338514.56
2020-04-24,5842826.14,346437.8
2020-04-25,5363749.08,284665.3
2020-04-26,4795998.85,247756.81
2020-04-27,4457689.01,174638.78
2020-04-28,4531501.2,204900.05
2020-04-29,0,0
2020-04-30,0,0
2020-05-01,4742930.52,238845.9
2020-05-02,5499166.23,198385.01
2020-05-03,6960319.09,246748.03
2020-05-04,6366981.45,262203.71
2020-05-05,5324394.98,264515.58
2020-05-06,4573361.88,208467.57
2020-05-07,4597834.85,197795.48
2020-05-08,6049079.24,172267.59
2020-05-09,4820755.07,174931.11
2020-05-10,4563213.28,169836.51
2020-05-11,4563664.9,221167.81
2020-05-12,4899675.63,256731.08
2020-05-13,6028805.51,257491.32
2020-05-14,5080754.92,260622.75
2020-05-15,5658419.59,224289.35
2020-05-16,6255133.32,198278.96
2020-05-17,5094390.88,164293.3
2020-05-18,5907058.34,225828.95
2020-05-19,7802498.68,277648.28
2020-05-20,6601551.03,286973.98
2020-05-21,6742798.79,322900.04
2020-05-22,6885166.78,276525.49
2020-05-23,5133296.21,265373.89
2020-05-24,5789614.33,224155.99
2020-05-25,6703455.26,276637.69
2020-05-26,8195335.13,212233.36
2020-05-27,7875070.19,247216.66
2020-05-28,7882959.76,254261.38
2020-05-29,,
2020-05-30,,
2020-05-31,,
2020-06-01,8065548.7,232572.46
2020-06-02,8033523.46,225545.87
2020-06-03,6045872.11,229632.01
2020-06-04,5586084.94,214282.89
2020-06-05,6291205.39,163456.38
2020-06-06,7252035.65,139336.93
2020-06-07,6204317.25,139874.59
2020-06-08,8582160.58,201005.52
2020-06-09,8771180.43,201922.49
2020-06-10,7944877.2,191718.12
2020-06-11,6684101.38,213904.66
2020-06-12,5997983.42,196000.19
2020-06-13,5192244.26,208920.24
2020-06-14,5245151.57,197053.98
2020-06-15,7624556.48,247511.26
2020-06-16,6681028.45,241186.83
2020-06-17,8043596.32,243360.42
2020-06-18,6443722.25,235372.74
2020-06-19,6254145.31,242161.45
2020-06-20,6256210.07,206568.41
2020-06-21,5902626.09,197006.87
2020-06-22,6893694.39,231899.34
2020-06-23,6759079.52,255607.94
2020-06-24,5414151.66,247659.96
2020-06-25,4883140.86,285887.56
2020-06-26,5713210.24,293848.01
2020-06-27,5320591.85,256500.04
2020-06-28,5848985.17,236417.53
2020-06-29,5627595.75,262255.19
2020-06-30,5599057.59,251724.25
2020-07-01,6308784.96,304821.21
2020-07-02,5753315.17,328705.1
2020-07-03,6396702.56,384541.99
2020-07-04,5243359.51,310676.08
2020-07-05,5022940.57,286554.93
2020-07-06,5665329.48,352155.46
2020-07-07,4934518.13,388428.92
2020-07-08,5983720.9,383257.52
2020-07-09,4643538.81,396814.83
2020-07-10,5041650.28,384204.93
2020-07-11,5203313.77,332916.64
2020-07-12,6567229.84,306189.08
2020-07-13,6473135.37,350454.87
2020-07-14,6335666.94,356025.79
2020-07-15,5861699.7,364576.01
2020-07-16,5972879.69,352134.64
2020-07-17,5522771.26,374025.26
2020-07-18,4806681.7,297910.89
2020-07-19,4958300.33,286445.9
2020-07-20,6480087.14,328508.88
2020-07-21,6752121.87,363397.15
2020-07-22,5709305.63,354431.7
2020-07-23,5952352.49,351896.71
2020-07-24,4221578.43,540353.13
2020-07-25,5305781.86,0
2020-07-26,5101786.45,276620.18
2020-07-27,5203784.15,408486.65
2020-07-28,5203784.15,408486.65
2020-07-29,5203784.15,408486.65
2020-07-30,5203784.15,408486.65
2020-07-31,5203784.15,408486.65
2020-08-01,4527817.44,315786.83
2020-08-02,4898994.21,298142.75
2020-08-03,6323288.12,370498.22
2020-08-04,6198509.9,382349.53
2020-08-05,6622846.22,363876.37
2020-08-06,7244675.49,362378.13
2020-08-07,6762888.49,354044.22
2020-08-08,6143667,314001.38
2020-08-09,5665739.49,308248.03
2020-08-10,6159427.61,356671.41
2020-08-11,6136134.75,353484.39
2020-08-12,6224427.84,319941.09
2020-08-13,6628083.86,308197.47
2020-08-14,6545021.54,279656.49
2020-08-15,6570828.22,251975.28
2020-08-16,6762672.38,242281.64
2020-08-17,9994648.21,302106.3
2020-08-18,9577532.71,327137.26
2020-08-19,8783707.72,320067.54
2020-08-20,9322173.81,346319.6
2020-08-21,8300895.66,362596.16
2020-08-22,7632278.43,285686.97
2020-08-23,8278891.57,250283.39
2020-08-24,9908420.45,319627.37
2020-08-25,9891766.31,357920.43
2020-08-26,9359692.78,309277.06
2020-08-27,9719959.85,328941.62
2020-08-28,9657139.65,332046.37
2020-08-29,9578930.76,323421.69
2020-08-30,9652010.08,328136.56
2020-08-31,8960226.22,420516.87
2020-09-01,8268442.36,512897.18
2020-09-02,6556268.25,323111.8
2020-09-03,8880795.49,397098.74
2020-09-04,10067277.51,356310.71
2020-09-05,7716451.32,327369.3
2020-09-06,6560830,314534.38
2020-09-07,7877387.25,374400.12
2020-09-08,7931170.67,398160.18
2020-09-09,9724243.43,400070.93
2020-09-10,7109503.44,396841.79
2020-09-11,6413466.21,379540.46
2020-09-12,6240959.79,323837.08
2020-09-13,5829936.6,439907.78
2020-09-14,6403343.31,353078
2020-09-15,6489559.88,357370.97
2020-09-16,6730244.65,367355.43
2020-09-17,6235596.17,392790.37
2020-09-18,6408308.71,392692.69
2020-09-19,5870399.14,331255.2
2020-09-20,5300791.11,476353.39
2020-09-21,3774670.91,673341.88
2020-09-22,4242362.01,510984.03
2020-09-23,4977484.22,277995.71
2020-09-24,6528746.67,262986.56
2020-09-25,5677267.45,299697.25
2020-09-26,4073316.54,423688.14
2020-09-27,3955126.29,508283.09
2020-09-28,5123829.8,45160.34
2020-09-29,4755492.82,12912.85
2020-09-30,4939661.31,29036.6
2020-10-01,4156118.19,322389.52
2020-10-02,4236275.76,302485.32
2020-10-03,4291771.02,581286.63
2020-10-04,4550753.59,69164.73
2020-10-05,5441544.48,181.68
2020-10-06,6153488.53,345128.4
2020-10-07,5491238.13,362902.12
2020-10-08,6094497.57,351822.62
2020-10-09,5938602.81,345988.16
2020-10-10,5060586.91,311814.31
2020-10-11,4893087.4,297424.48
2020-10-12,6162660.2,335517.76
2020-10-13,6913995.12,351755.08
2020-10-14,6464527.75,344549.32
2020-10-15,7414369.75,342572.09
2020-10-16,5678757.55,322983.07
2020-10-17,4326376.34,563236.01
2020-10-18,4794202.24,1958.11
2020-10-19,5840905.68,327595.58
2020-10-20,6871316.95,358187.77
2020-10-21,,
2020-10-22,,
2020-10-23,,
2020-10-24,,
2020-10-25,,
2020-10-26,,
2020-10-27,,
2020-10-28,,
2020-10-29,,
2020-10-30,,
2020-10-31,,
2020-11-01,4429992.28,277598.92
2020-11-02,4175815.91,349863.02
2020-11-03,4219616.8,343832.79
2020-11-04,4235998.63,348789.6
2020-11-05,5177177.48,362292.88
2020-11-06,5107623.43,370343.46
2020-11-07,5001198.12,341704.01
2020-11-08,5060487.74,316209.59
2020-11-09,5195781.27,348389.84
2020-11-10,5580262.73,382096.25
2020-11-11,4961282.5,369386.34
2020-11-12,4688691.45,348660.71
2020-11-13,4860115.83,327351.09
2020-11-14,4468427.58,261355.33
2020-11-15,4285909.64,275469.96
2020-11-16,4226929.38,455965.97
2020-11-17,4341769.5,547943.23
2020-11-18,4200680.38,249010.42
2020-11-19,4326250.87,0
2020-11-20,4539413.37,317265.91
2020-11-21,4116278.91,0
2020-11-22,4257670.54,257858.76
2020-11-23,4338544.9,316571.82
2020-11-24,4384442.02,305231.66
2020-11-25,4322954.89,338030.67
2020-11-26,4357738.3,315489.85
2020-11-27,4698743.33,10573.21
2020-11-28,4792394.27,0
2020-11-29,4337151.26,0
2020-11-30,0,0
2020-12-01,0,4448933.36
2020-12-02,0,4634052.28
2020-12-03,0,4626470.65
2020-12-04,0,5207379.31
2020-12-05,0,4699971.81
2020-12-06,0,5120654.32
2020-12-07,0,4902580.15
2020-12-08,0,5152840.72
2020-12-09,0,4268280.58
2020-12-10,0,4998923.46
2020-12-11,0,4794615.29
2020-12-12,0,4805733.73
2020-12-13,0,5006752.48
2020-12-14,0,4860190.79
2020-12-15,0,5803538.45
2020-12-16,0,5516063.18
2020-12-17,0,4316839.16
2020-12-18,0,4285102.13
2020-12-19,0,4264285.93
2020-12-20,0,4295206.09
2020-12-21,0,4263941.37
2020-12-22,0,33833.59
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,0,0
2020-12-30,0,0
2020-12-31,0,0
2021-01-01,0,0
2021-01-02,0,0
2021-01-03,0,0
2021-01-04,0,0
