"","Date","node","volume"
"121",2024-02-14,"CHI_III",14.983674063
"122",2024-02-14,"GAD_CHI",63.0341262122
"123",2024-02-14,"GAD_JUA",10.8324663927
"124",2024-02-14,"SMY_BRN",0
"125",2024-02-14,"SMY_I",0
"126",2024-02-14,"SMY_II",53.5069617609
"127",2024-02-15,"CHI_III",19.977878937
"128",2024-02-15,"GAD_CHI",59.2208095915
"129",2024-02-15,"GAD_JUA",20.4050102335
"130",2024-02-15,"SMY_BRN",0
"131",2024-02-15,"SMY_I",22.7987818583
"132",2024-02-15,"SMY_II",54.2576463388
"133",2024-02-16,"CHI_III",27.9696308617
"134",2024-02-16,"GAD_CHI",60.9852026329
"135",2024-02-16,"GAD_JUA",20.3990067345
"136",2024-02-16,"SMY_BRN",0
"137",2024-02-16,"SMY_I",27.9664525387
"138",2024-02-16,"SMY_II",57.8923058922
"139",2024-02-17,"CHI_III",26.9707898869
"140",2024-02-17,"GAD_CHI",59.2946173145
"141",2024-02-17,"GAD_JUA",10.7756450404
"142",2024-02-17,"SMY_BRN",0
"143",2024-02-17,"SMY_I",0
"144",2024-02-17,"SMY_II",54.0597780747
"145",2024-02-18,"CHI_III",26.9707898869
"146",2024-02-18,"GAD_CHI",64.2230309024
"147",2024-02-18,"GAD_JUA",10.8655915813
"148",2024-02-18,"SMY_BRN",0
"149",2024-02-18,"SMY_I",0
"150",2024-02-18,"SMY_II",27.4093631462
"151",2024-02-19,"CHI_III",26.9707898869
"152",2024-02-19,"GAD_CHI",64.1744731899
"153",2024-02-19,"GAD_JUA",10.8607181527
"154",2024-02-19,"SMY_BRN",0
"155",2024-02-19,"SMY_I",16.4636425106
"156",2024-02-19,"SMY_II",63.3947246139
"157",2024-02-20,"CHI_III",26.9707898869
"158",2024-02-20,"GAD_CHI",64.2018773971
"159",2024-02-20,"GAD_JUA",10.8631901817
"160",2024-02-20,"SMY_BRN",0
"161",2024-02-20,"SMY_I",18.2531443037
"162",2024-02-20,"SMY_II",54.7523346564
"163",2024-02-21,"CHI_III",19.977878937
"164",2024-02-21,"GAD_CHI",64.2474686748
"165",2024-02-21,"GAD_JUA",23.1980851712
"166",2024-02-21,"SMY_BRN",0
